acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
-0.03	-0.12	0.92	-6.14	3.47	-0.72
-0.02	-0.13	0.91	-6.61	4.05	-1.91
-0.02	-0.13	0.9	-6.44	3.36	-3.16
-0.02	-0.13	0.9	-5.86	2.43	-5.13
-0.03	-0.13	0.89	-5.3	1.5	-6.14
-0.03	-0.12	0.88	-6.69	2.85	-5.85
-0.04	-0.12	0.89	-7.53	3.37	-4.72
-0.04	-0.13	0.9	-8.05	4.34	-4.02
-0.05	-0.13	0.91	-7.48	4.18	-3.05
-0.05	-0.14	0.9	-6.79	2.26	-2.96
-0.05	-0.14	0.89	-6.37	1.27	-2.99
-0.05	-0.13	0.89	-6.99	0.06	-2.95
-0.05	-0.13	0.88	-7.24	0.09	-2.73
-0.04	-0.13	0.89	-7.31	0.4	-2.44
-0.04	-0.13	0.9	-7.02	0.82	-2.52
-0.04	-0.15	0.92	-6.93	1.42	-2.56
-0.06	-0.13	0.91	-7.15	-0.5	-2.52
-0.05	-0.14	0.9	-7.8	-1.57	-1.68
-0.05	-0.14	0.92	-7.82	-1.34	-1.48
-0.04	-0.15	0.91	-6.95	-1.02	-1.68
-0.04	-0.13	0.92	-6.98	0.72	-1.47
-0.04	-0.14	0.92	-7.54	0.56	-1.54
-0.05	-0.14	0.92	-7.86	-0.27	-1.42
-0.05	-0.14	0.92	-8.09	-1.42	-1.42
-0.05	-0.14	0.9	-8.02	-1.53	-1.33
-0.04	-0.15	0.9	-7.91	-0.95	-1.28
-0.05	-0.15	0.91	-7.94	0.31	-0.96
-0.04	-0.14	0.92	-7.86	1.25	-0.4
-0.04	-0.14	0.94	-8.21	2.09	-0.53
-0.04	-0.15	0.93	-7.51	1.27	-0.4
-0.05	-0.14	0.93	-7.42	0.67	0
-0.04	-0.14	0.91	-7.34	0.05	-0.43
-0.05	-0.15	0.9	-7.31	-0.29	-0.12
-0.04	-0.14	0.91	-7.28	0.66	-0.06
-0.05	-0.13	0.9	-7.05	2.14	0.44
-0.06	-0.13	0.91	-7.05	1.79	0.79
-0.06	-0.14	0.9	-7.31	0.46	0.98
-0.05	-0.13	0.9	-7.51	-0.53	1.19
-0.04	-0.14	0.9	-6.98	-1.05	1.11
-0.03	-0.14	0.91	-6.11	-0.46	-0.2
-0.03	-0.14	0.92	-5.88	-0.26	-0.69
-0.03	-0.14	0.92	-5.77	0.58	-0.34
-0.04	-0.15	0.94	-6.18	1.4	0.08
-0.04	-0.14	0.93	-5.39	1.42	0.11
-0.05	-0.15	0.9	-5.24	0.61	0.34
-0.06	-0.14	0.9	-4.24	-0.08	0.53
-0.05	-0.14	0.9	-3.27	-0.31	0.56
-0.06	-0.14	0.9	-2.79	-0.24	0.96
-0.06	-0.14	0.9	-4.02	-0.41	1.1
-0.06	-0.14	0.9	-4.52	-0.32	1.4
-0.05	-0.14	0.9	-4.5	-0.29	1.63
-0.06	-0.14	0.9	-4.52	-0.2	1.62
-0.06	-0.15	0.9	-3.98	0.21	2.35
