acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
-0.02	-1.22	0.57	-142.55	-104.87	291.62
0.16	-1.25	0.66	-127.71	-119.01	276.26
0.31	-1.19	0.67	-117.48	-122.34	264.61
0.46	-1.11	0.58	-110.73	-109.16	253.37
0.42	-0.98	0.55	-113.33	-96.64	250.38
0.56	-1.04	0.55	-113.54	-81.34	226.15
0.35	-1.06	0.66	-103.71	-94.85	210.81
0.36	-1.04	0.69	-100.15	-105.76	201.05
0.5	-0.98	0.75	-94.06	-107.62	180.37
0.58	-0.93	0.88	-92.92	-90.11	163.98
0.65	-0.92	1.04	-86.52	-58.41	148.76
0.66	-0.83	1.11	-72.95	-40.87	130.05
0.68	-0.75	1.12	-55.79	-14.06	109.76
0.51	-0.72	1.05	-40.95	2.11	90.47
0.24	-0.68	1.02	-32.05	5.05	76.61
-0.02	-0.67	0.99	-18.2	-19.79	66
-0.2	-0.61	0.92	-6.69	-46.15	61.91
-0.23	-0.53	0.83	-3.5	-60.95	60.72
-0.25	-0.48	0.8	-1.19	-71.76	58.02
-0.24	-0.48	0.75	19.28	-121.82	54.21
-0.09	-0.41	0.7	-5.18	-85.82	51.22
-0.14	-0.52	0.75	3.19	-52.41	53.77
-0.19	-0.54	0.79	33.19	-78.37	44.67
-0.1	-0.48	0.79	39.42	-69.16	44.35
-0.1	-0.44	0.77	14.53	-38.06	41.51
-0.1	-0.47	0.78	8.09	-26.78	36.44
-0.09	-0.47	0.79	-5.4	-6.75	30.29
-0.18	-0.48	0.88	-17.94	-10.98	25.92
-0.11	-0.48	0.8	-20.87	8.26	23.27
-0.14	-0.45	0.78	-16.84	6	24.73
-0.11	-0.45	0.72	-10.93	6.7	23.19
-0.18	-0.44	0.71	-9.68	0.87	19.05
-0.18	-0.44	0.69	-11.24	-0.75	17.37
-0.23	-0.43	0.67	-12.49	-3.98	11.45
-0.29	-0.46	0.7	-12.67	-10.9	10.34
-0.34	-0.44	0.74	-10.61	-16.96	9.85
-0.35	-0.47	0.74	-7.44	-21.6	9.66
-0.34	-0.43	0.77	-6.82	-23.77	9.6
-0.29	-0.45	0.76	-7.18	-24.38	10.08
-0.29	-0.43	0.78	-7.65	-22.14	9.97
-0.26	-0.43	0.79	-7.56	-23.22	8.2
-0.28	-0.41	0.79	-8.14	-23.07	7.92
-0.27	-0.39	0.77	-8.7	-25.42	8.79
-0.23	-0.41	0.78	-9.92	-23.69	9.19
-0.22	-0.44	0.77	-10.52	-20.24	8.99
-0.23	-0.44	0.83	-10.5	-23.16	7.45
-0.19	-0.46	0.85	-6.44	-25.76	6
-0.17	-0.45	0.87	-4.75	-22.32	4.2
-0.17	-0.45	0.85	0.15	-19.59	1.31
-0.18	-0.43	0.82	-0.2	-16.87	0.18
-0.23	-0.41	0.79	0.64	-11.59	-0.03
-0.24	-0.4	0.78	0.35	-9.31	-0.6
-0.25	-0.37	0.74	-2.81	-8.09	-0.23
-0.21	-0.39	0.74	-3.83	-3.44	0.02
-0.23	-0.39	0.74	-8.05	-3.33	-0.9
-0.25	-0.41	0.78	-10.08	-2.61	-0.29
-0.27	-0.42	0.81	-10.11	-3.85	0.9
-0.26	-0.41	0.82	-9.53	-6.32	1.08
-0.22	-0.4	0.8	-9.82	-6.49	1.3
-0.21	-0.41	0.78	-11.1	-5.34	0
-0.2	-0.42	0.83	-10.29	-6.95	-0.7
-0.19	-0.43	0.82	-8.05	-7.21	-2.05
-0.17	-0.42	0.8	-7.68	-3.68	-2.43
-0.18	-0.41	0.8	-7.56	0.84	-3.31
-0.22	-0.41	0.79	-6.87	-2.2	-4.81
-0.26	-0.42	0.82	-5.47	-6.08	-5.37
-0.25	-0.42	0.82	-5.74	-7.51	-5.8
-0.28	-0.42	0.85	-5.65	-11.42	-3.57
-0.23	-0.42	0.83	-3.59	-12.49	-3.65
-0.2	-0.41	0.84	-2.69	-14.32	-4.34
-0.18	-0.41	0.82	-4.27	-9.69	-5.02
-0.18	-0.41	0.79	-3.82	-7.16	-4.4
-0.19	-0.39	0.78	-4.87	0.61	-3.19
-0.21	-0.4	0.76	-6.72	4.93	-2.31
-0.22	-0.4	0.77	-6.52	4.63	-1.92
-0.23	-0.4	0.77	-7.62	4.11	-1.25
-0.23	-0.43	0.78	-8.46	5.74	-0.29
-0.22	-0.43	0.83	-7.24	4.38	0.08
-0.2	-0.42	0.85	-6	0.35	-0.53
-0.19	-0.42	0.85	-6.21	0.23	-1.13
-0.18	-0.41	0.85	-5.97	-0.9	-2.26
-0.18	-0.4	0.83	-6.24	-1.8	-3.65
-0.18	-0.41	0.84	-6.15	-0.6	-4.58
