,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,16.32,1.16,3.77,0.13,-0.10,1.09
1,17.34,2.58,4.00,0.14,-0.10,1.09
2,18.72,4.43,4.32,0.14,-0.10,1.11
3,19.16,6.38,4.56,0.15,-0.09,1.09
4,19.44,8.73,4.70,0.15,-0.09,1.10
5,19.53,10.21,4.44,0.15,-0.09,1.09
6,19.47,10.72,4.29,0.14,-0.08,1.10
7,19.50,10.40,4.06,0.13,-0.08,1.10
8,19.95,9.57,3.95,0.13,-0.08,1.11
9,20.14,9.07,3.86,0.12,-0.08,1.11
10,20.79,8.41,3.74,0.12,-0.09,1.10
11,21.48,7.68,3.30,0.12,-0.09,1.10
12,22.32,7.34,2.85,0.12,-0.08,1.10
13,23.11,7.69,2.52,0.12,-0.08,1.09
14,23.34,8.43,2.60,0.11,-0.07,1.08
15,23.51,9.57,2.84,0.10,-0.07,1.08
16,23.42,10.46,2.79,0.09,-0.07,1.06
17,23.53,10.63,3.63,0.08,-0.06,1.05
18,23.11,11.10,4.58,0.08,-0.06,1.05
19,22.38,11.16,5.21,0.07,-0.05,1.04
20,21.82,11.11,5.97,0.08,-0.04,1.04
21,21.37,11.13,7.10,0.08,-0.03,1.04
22,20.66,10.84,7.65,0.08,-0.03,1.05
23,20.27,10.90,8.24,0.10,-0.02,1.06
24,20.23,11.31,8.47,0.12,-0.03,1.07
25,20.23,12.00,7.95,0.13,-0.03,1.06
26,20.24,12.90,7.34,0.14,-0.03,1.07
27,20.40,12.93,6.67,0.13,-0.03,1.09
28,20.61,13.54,6.26,0.14,-0.03,1.10
29,21.25,14.41,5.50,0.14,-0.02,1.11
30,21.91,14.96,4.69,0.13,-0.02,1.11
31,23.27,15.51,4.26,0.13,-0.02,1.11
32,24.05,16.08,3.79,0.12,-0.02,1.11
33,24.84,15.91,3.82,0.10,-0.02,1.13
34,25.73,16.61,3.15,0.10,-0.02,1.12
35,26.53,16.12,3.22,0.09,-0.01,1.11
36,27.39,15.36,2.82,0.08,-0.01,1.11
37,28.11,14.06,2.63,0.07,-0.00,1.10
38,28.46,12.98,2.63,0.06,0.00,1.10
39,28.64,11.42,2.79,0.05,0.01,1.10
40,28.70,9.74,3.01,0.05,0.02,1.10
41,28.64,8.40,3.42,0.06,0.02,1.10
42,28.18,8.00,4.03,0.06,0.03,1.09
43,27.69,7.44,4.49,0.07,0.02,1.11
44,27.50,7.44,4.50,0.07,0.03,1.11
45,28.02,7.59,4.24,0.08,0.02,1.11
46,28.72,8.11,4.12,0.08,0.02,1.12
47,29.56,9.19,3.95,0.07,0.02,1.13
48,30.50,9.50,3.25,0.07,0.03,1.12
49,31.24,9.62,2.58,0.07,0.03,1.10
50,32.05,9.86,2.43,0.05,0.04,1.11
51,32.89,9.63,2.60,0.04,0.04,1.11
52,33.36,9.34,2.92,0.03,0.04,1.10
53,33.76,8.85,3.47,0.03,0.06,1.10
54,33.83,8.61,3.94,0.02,0.06,1.08
55,33.68,8.32,4.38,0.02,0.06,1.07
56,33.60,6.92,4.95,0.02,0.07,1.07
57,33.27,6.73,5.39,0.03,0.07,1.07
58,33.24,6.76,6.26,0.03,0.08,1.07
59,33.15,6.69,6.53,0.04,0.08,1.06
60,33.11,6.64,7.01,0.04,0.09,1.06
61,33.04,6.73,6.96,0.05,0.08,1.06
62,32.87,7.16,6.84,0.06,0.09,1.06
63,33.05,7.51,6.95,0.06,0.10,1.06
64,32.89,8.24,6.81,0.06,0.10,1.06
65,32.82,8.55,6.61,0.05,0.10,1.06
66,32.60,8.75,6.46,0.06,0.11,1.06
67,32.46,9.18,5.95,0.05,0.10,1.06
68,32.63,8.82,5.80,0.05,0.11,1.06
69,33.22,8.76,5.74,0.04,0.11,1.06
70,34.08,8.73,5.98,0.04,0.11,1.06
71,34.40,8.05,6.06,0.03,0.12,1.06
72,34.02,8.61,6.50,0.03,0.13,1.06
73,33.53,9.59,6.93,0.05,0.13,1.05
74,33.05,11.31,7.15,0.06,0.13,1.06
75,32.99,12.55,7.34,0.05,0.13,1.07
76,33.34,13.05,7.24,0.05,0.12,1.07
77,33.86,13.18,6.75,0.05,0.13,1.07
78,34.76,12.79,6.17,0.04,0.13,1.06
79,35.42,12.69,6.03,0.04,0.13,1.06
80,35.88,12.85,5.74,0.03,0.14,1.05
81,36.06,12.96,5.36,0.02,0.15,1.05
82,35.83,12.93,6.06,0.01,0.15,1.05
83,35.51,12.70,6.05,0.01,0.15,1.04
84,35.37,12.02,6.44,-0.00,0.16,1.04
85,35.25,11.98,7.07,-0.00,0.16,1.04
86,35.27,12.06,8.17,-0.01,0.16,1.04
87,35.08,12.35,9.05,0.00,0.17,1.04
88,35.18,12.58,9.80,0.00,0.17,1.04
89,35.68,12.69,10.32,0.00,0.17,1.04
90,35.95,12.27,11.05,0.01,0.17,1.05
91,36.31,12.34,10.82,0.02,0.18,1.05
92,37.10,12.46,10.85,0.03,0.17,1.05
93,37.13,12.98,11.02,0.03,0.18,1.05
94,37.51,12.95,10.76,0.03,0.18,1.05
95,37.80,13.36,9.92,0.03,0.19,1.06
96,38.38,14.08,9.44,0.03,0.19,1.06
97,39.15,15.19,9.18,0.02,0.21,1.05
98,40.02,15.77,9.24,0.01,0.21,1.05
99,40.56,16.03,9.45,0.01,0.22,1.04
100,40.87,15.42,9.73,-0.00,0.23,1.03
101,40.82,14.76,10.11,-0.01,0.24,1.03
102,40.35,13.73,10.82,-0.02,0.24,1.03
103,39.92,12.84,11.04,-0.01,0.25,1.01
104,39.83,11.68,11.19,-0.02,0.25,1.03
105,39.44,10.90,11.80,-0.01,0.25,1.02
106,39.07,10.81,11.94,0.01,0.25,1.02
107,38.81,10.99,12.17,0.00,0.26,1.03
108,38.96,10.85,12.15,0.01,0.27,1.03
109,39.02,11.08,11.94,0.01,0.26,1.02
110,38.95,10.93,11.98,0.02,0.28,1.03
111,38.72,11.80,11.44,0.02,0.28,1.03
112,39.10,11.57,10.98,0.02,0.28,1.03
113,39.16,11.65,11.18,0.01,0.28,1.01
