,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,16.32,2.70,5.31,-0.03,0.04,1.07
1,16.67,2.98,5.82,-0.03,0.04,1.06
2,16.69,3.39,6.03,-0.03,0.04,1.07
3,16.78,2.98,6.08,-0.03,0.04,1.06
4,16.85,2.09,5.92,-0.03,0.04,1.06
5,16.96,0.64,5.62,-0.03,0.04,1.05
6,16.82,-1.13,4.87,-0.02,0.04,1.08
7,17.27,-2.63,4.43,-0.02,0.04,1.07
8,17.21,-3.40,3.88,-0.02,0.05,1.07
9,17.31,-3.04,3.73,-0.00,0.05,1.06
10,17.51,-2.08,3.54,0.01,0.05,1.06
11,17.39,-0.82,3.33,-0.00,0.06,1.06
12,17.40,0.37,3.76,-0.01,0.06,1.06
13,16.76,1.54,3.76,-0.01,0.08,1.06
14,16.03,2.85,3.79,-0.02,0.08,1.04
15,15.44,3.57,4.38,-0.02,0.08,1.04
16,14.99,3.85,5.10,-0.02,0.09,1.03
17,14.34,4.41,5.60,-0.03,0.10,1.03
18,13.95,4.37,6.15,-0.03,0.10,1.04
19,13.54,3.59,6.35,-0.02,0.09,1.04
20,13.85,3.10,6.00,-0.02,0.08,1.03
21,14.00,2.56,5.62,-0.01,0.09,1.03
22,13.86,2.67,5.45,-0.00,0.09,1.02
23,13.28,2.32,5.07,0.01,0.10,1.01
24,12.72,1.60,4.69,0.01,0.09,1.02
25,12.06,1.89,4.53,-0.00,0.09,1.01
26,11.77,1.91,4.18,0.00,0.09,1.00
27,11.25,2.12,4.08,-0.00,0.09,1.02
28,10.52,1.76,3.36,-0.00,0.10,1.01
29,9.95,1.69,3.16,-0.01,0.10,1.02
30,9.76,1.77,2.96,-0.01,0.09,1.03
31,9.54,1.36,3.19,-0.01,0.09,1.04
32,9.40,2.14,3.11,-0.01,0.09,1.05
33,9.21,2.55,2.99,-0.01,0.10,1.06
34,8.76,2.89,2.98,-0.01,0.10,1.04
35,8.50,3.79,3.24,-0.02,0.11,1.04
36,8.03,3.59,3.40,-0.03,0.11,1.05
37,7.82,2.96,3.25,-0.04,0.11,1.06
38,8.09,1.92,3.48,-0.04,0.10,1.08
39,8.41,1.37,3.71,-0.03,0.10,1.10
40,10.11,-0.43,4.05,-0.04,0.09,1.10
41,10.98,-0.89,3.94,-0.03,0.09,1.10
42,12.27,-0.32,3.51,-0.01,0.08,1.10
43,12.95,0.41,3.19,-0.01,0.07,1.10
44,14.00,1.98,3.05,-0.00,0.07,1.10
45,14.56,3.42,3.11,-0.01,0.07,1.10
46,14.92,4.52,3.13,-0.02,0.06,1.11
47,14.82,5.24,3.40,-0.02,0.07,1.11
48,14.53,5.22,3.28,-0.03,0.06,1.11
49,14.20,4.89,3.68,-0.05,0.07,1.11
50,14.46,4.52,3.77,-0.06,0.06,1.13
51,14.73,4.14,4.18,-0.07,0.06,1.13
52,15.82,3.62,4.82,-0.07,0.07,1.16
53,16.70,3.53,5.77,-0.07,0.07,1.16
54,17.85,4.37,6.56,-0.07,0.07,1.18
55,19.31,5.44,7.79,-0.05,0.07,1.18
56,20.89,6.85,8.47,-0.05,0.07,1.18
57,22.82,8.32,8.26,-0.04,0.07,1.18
58,24.31,9.37,8.20,-0.03,0.07,1.19
59,26.15,10.02,8.00,-0.03,0.08,1.18
60,27.73,10.67,8.02,-0.02,0.07,1.18
61,28.90,11.11,7.69,-0.02,0.07,1.17
62,30.12,11.63,7.19,-0.02,0.08,1.16
63,30.96,12.09,6.81,-0.02,0.09,1.16
64,31.91,12.67,6.56,-0.02,0.09,1.16
65,32.85,13.05,6.84,-0.03,0.09,1.16
66,33.73,13.65,6.96,-0.03,0.10,1.15
67,34.58,13.91,6.63,-0.03,0.11,1.15
68,35.48,13.79,6.53,-0.04,0.11,1.15
69,36.58,14.40,6.90,-0.04,0.12,1.14
70,37.63,14.64,7.11,-0.04,0.12,1.14
71,38.41,15.15,6.79,-0.04,0.12,1.13
72,39.15,15.16,6.50,-0.04,0.14,1.13
73,39.83,15.01,6.79,-0.05,0.15,1.11
74,40.23,14.79,6.73,-0.04,0.15,1.12
75,40.82,13.40,6.60,-0.06,0.16,1.09
76,41.28,11.97,6.55,-0.06,0.17,1.12
77,42.11,10.85,6.70,-0.07,0.18,1.10
78,42.50,10.05,6.72,-0.06,0.19,1.11
79,43.19,9.86,6.79,-0.06,0.21,1.11
80,43.73,9.50,7.08,-0.07,0.22,1.09
81,43.74,8.81,7.40,-0.07,0.22,1.09
82,43.77,8.47,7.63,-0.07,0.23,1.09
83,43.91,7.76,7.71,-0.06,0.24,1.08
84,43.92,7.33,7.83,-0.07,0.25,1.07
85,43.48,6.78,8.02,-0.06,0.25,1.07
86,43.10,5.68,7.79,-0.07,0.27,1.07
87,42.84,4.35,7.48,-0.07,0.27,1.07
88,42.47,3.85,7.27,-0.08,0.27,1.07
89,42.52,2.93,7.39,-0.08,0.27,1.07
90,43.07,1.97,7.53,-0.08,0.27,1.06
91,43.42,1.25,7.25,-0.07,0.27,1.07
92,43.63,0.53,7.15,-0.08,0.27,1.07
93,43.88,-0.03,7.74,-0.08,0.28,1.07
94,44.50,-0.11,7.71,-0.07,0.28,1.07
95,44.95,-0.40,7.80,-0.07,0.27,1.07
96,45.71,-0.70,8.17,-0.07,0.28,1.07
97,46.50,-0.73,8.23,-0.06,0.28,1.06
98,47.02,-0.05,8.41,-0.07,0.29,1.05
99,47.16,0.26,8.26,-0.06,0.28,1.04
100,47.15,1.11,8.09,-0.05,0.29,1.04
101,47.92,1.57,8.26,-0.05,0.30,1.04
102,48.18,2.14,8.75,-0.05,0.30,1.03
103,48.67,2.85,8.81,-0.05,0.31,1.02
104,49.04,3.08,8.67,-0.04,0.32,1.01
105,49.10,3.19,8.78,-0.06,0.32,1.00
106,49.15,3.01,8.58,-0.07,0.33,0.99
107,49.13,2.92,8.61,-0.06,0.34,0.99
108,48.82,2.24,8.43,-0.07,0.34,0.98
109,48.72,1.51,8.15,-0.07,0.34,0.98
110,48.64,0.82,8.11,-0.08,0.35,0.98
111,48.44,0.66,8.26,-0.07,0.36,0.97
112,48.70,0.56,8.76,-0.08,0.36,0.98
113,48.64,0.89,9.37,-0.07,0.36,0.96
114,48.49,0.61,9.79,-0.08,0.37,0.96
115,48.38,0.66,10.12,-0.07,0.37,0.96
116,48.08,0.50,10.27,-0.07,0.38,0.96
117,47.86,0.52,10.81,-0.07,0.37,0.95
118,47.89,0.50,11.25,-0.06,0.38,0.95
119,47.97,1.42,11.47,-0.05,0.39,0.95
120,48.06,1.89,11.27,-0.06,0.39,0.94
121,47.80,2.78,11.45,-0.05,0.40,0.94
122,47.27,3.76,11.68,-0.04,0.41,0.94
123,47.01,3.79,11.45,-0.05,0.41,0.93
124,46.63,3.86,11.47,-0.06,0.42,0.93
125,46.63,4.08,11.27,-0.05,0.42,0.93
126,46.75,3.97,11.30,-0.05,0.42,0.92
127,46.82,4.46,11.22,-0.05,0.42,0.93
128,46.73,4.20,11.24,-0.05,0.43,0.92
129,46.43,3.68,11.39,-0.06,0.43,0.92
130,46.43,2.96,11.39,-0.06,0.43,0.91
131,46.84,2.93,11.51,-0.06,0.45,0.92
132,47.13,2.34,11.31,-0.05,0.44,0.92
133,47.27,2.03,10.81,-0.05,0.45,0.91
134,47.48,1.89,10.15,-0.05,0.46,0.90
