,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,14.64,3.13,0.06,0.07,-0.00,1.08
1,14.52,2.96,0.09,0.07,0.00,1.07
2,14.26,2.67,0.31,0.07,-0.00,1.07
3,13.98,2.64,0.55,0.06,-0.00,1.09
4,14.08,3.15,0.76,0.06,0.00,1.09
5,14.24,3.19,0.61,0.07,0.00,1.09
6,14.43,3.08,0.31,0.07,0.01,1.10
7,14.35,3.36,0.24,0.07,0.01,1.09
8,14.53,3.47,0.53,0.05,0.01,1.09
9,14.75,4.03,0.82,0.06,0.01,1.10
10,14.85,4.58,1.15,0.04,0.00,1.10
11,15.10,4.78,1.07,0.05,0.01,1.09
12,14.70,5.10,1.59,0.04,0.01,1.09
13,15.11,4.99,1.65,0.03,0.01,1.10
14,15.27,4.87,1.73,0.03,0.01,1.10
15,15.62,4.92,1.66,0.03,0.01,1.09
16,16.00,5.24,2.40,0.02,0.02,1.09
17,15.89,5.36,3.74,0.03,0.01,1.09
18,15.94,5.47,4.43,0.03,0.01,1.07
19,16.11,6.41,4.75,0.04,0.02,1.08
20,16.37,6.23,4.99,0.03,0.01,1.08
21,17.24,5.95,5.24,0.01,0.01,1.08
22,17.59,5.80,5.89,0.02,0.02,1.08
23,18.12,5.16,5.85,0.02,0.02,1.08
24,18.92,4.53,6.09,0.02,0.02,1.09
25,19.15,3.82,6.40,0.02,0.02,1.09
26,19.42,2.47,6.56,0.04,0.03,1.08
27,19.69,1.68,6.09,0.04,0.03,1.09
28,19.56,1.02,6.03,0.05,0.03,1.09
29,19.80,1.04,6.27,0.05,0.04,1.08
30,19.98,1.30,6.20,0.06,0.04,1.08
31,20.09,2.44,6.26,0.06,0.04,1.09
32,19.95,3.79,5.89,0.07,0.04,1.09
33,19.91,4.58,5.80,0.06,0.04,1.12
34,20.32,5.15,6.15,0.06,0.05,1.13
35,20.82,6.05,6.08,0.05,0.04,1.13
36,21.68,5.85,5.94,0.04,0.04,1.15
37,22.34,5.74,6.09,0.03,0.03,1.16
38,23.48,6.08,6.34,0.03,0.02,1.16
39,24.60,6.55,6.58,0.03,0.03,1.16
40,25.92,6.87,6.79,0.03,0.02,1.18
41,27.51,6.82,7.21,0.03,0.03,1.20
42,29.15,7.28,7.95,0.02,0.03,1.20
43,30.60,7.28,8.37,0.02,0.02,1.20
44,32.17,7.73,8.67,0.02,0.04,1.21
45,32.73,7.83,8.96,0.03,0.05,1.20
46,34.09,8.17,9.16,0.03,0.04,1.21
47,35.74,9.13,9.21,0.04,0.04,1.21
48,37.42,10.38,9.22,0.04,0.05,1.20
49,39.02,11.13,8.89,0.03,0.05,1.19
50,40.58,11.76,8.24,0.03,0.05,1.19
51,41.89,12.53,8.20,0.02,0.06,1.19
52,43.53,13.07,8.05,0.02,0.06,1.17
53,45.16,13.34,8.20,0.01,0.07,1.16
54,46.35,13.42,8.50,0.01,0.08,1.15
55,47.40,13.77,8.70,-0.00,0.09,1.13
56,48.06,13.45,8.95,-0.00,0.10,1.13
57,48.90,13.37,9.62,-0.01,0.11,1.12
58,49.62,13.30,10.15,0.00,0.12,1.11
59,49.69,13.25,10.34,-0.00,0.13,1.09
60,49.50,13.11,10.56,-0.01,0.13,1.09
61,49.34,12.63,11.05,-0.01,0.14,1.09
62,49.53,11.98,11.66,-0.01,0.15,1.09
63,49.47,11.42,12.06,-0.01,0.14,1.08
64,49.63,10.87,12.44,0.00,0.15,1.08
65,49.50,10.38,12.81,-0.01,0.16,1.07
66,50.06,9.94,12.79,0.00,0.16,1.07
67,50.70,10.31,12.69,0.01,0.17,1.07
68,51.73,10.40,12.34,0.01,0.17,1.08
69,52.08,11.33,12.06,0.02,0.18,1.07
70,52.23,11.95,11.94,0.01,0.19,1.05
71,52.35,12.66,12.02,0.01,0.20,1.05
72,52.31,13.24,12.14,0.00,0.20,1.04
73,52.00,13.30,12.15,-0.01,0.21,1.04
74,51.62,12.69,13.01,-0.01,0.22,1.03
75,51.63,12.32,13.62,-0.01,0.22,1.03
76,52.03,11.76,13.57,-0.01,0.22,1.04
77,52.23,11.22,13.53,-0.00,0.24,1.03
78,52.26,10.46,13.59,0.00,0.24,1.02
79,52.15,9.65,13.56,0.01,0.25,1.01
80,51.92,9.79,13.30,0.02,0.26,1.02
81,51.68,10.67,12.95,0.03,0.26,1.02
82,51.60,11.80,12.56,0.03,0.27,1.00
83,51.59,13.28,12.38,0.03,0.28,1.00
84,51.10,14.95,12.05,0.03,0.29,1.00
85,50.70,14.95,11.77,0.01,0.29,1.00
86,50.72,14.08,11.42,0.00,0.30,1.01
87,50.75,13.34,11.25,-0.01,0.30,0.99
88,50.82,11.51,10.98,-0.02,0.30,0.99
89,50.56,9.47,11.50,-0.03,0.31,0.99
90,50.26,7.86,11.37,-0.03,0.31,0.99
91,50.18,5.82,12.03,-0.04,0.32,0.99
92,50.60,4.72,12.69,-0.04,0.31,0.99
93,50.34,3.68,13.50,-0.03,0.33,0.99
94,50.32,3.88,14.23,-0.01,0.33,0.99
95,50.21,5.21,14.38,0.00,0.33,0.99
96,50.24,6.56,14.47,0.00,0.33,0.99
97,50.05,8.40,14.72,0.01,0.33,0.98
98,49.82,9.51,14.84,0.01,0.33,1.00
99,49.71,9.98,14.50,0.02,0.34,0.99
100,49.83,10.08,14.23,0.01,0.35,0.99
101,50.35,9.79,14.06,0.01,0.35,0.99
102,50.49,8.96,13.39,0.01,0.36,1.00
103,50.87,8.11,13.10,0.00,0.36,0.99
104,51.83,8.15,12.98,-0.00,0.36,0.99
105,52.60,8.64,13.18,0.01,0.37,0.98
106,53.05,10.31,12.52,0.02,0.38,0.97
107,53.25,11.11,12.56,0.01,0.38,0.97
108,53.31,12.23,12.55,0.00,0.40,0.96
109,53.01,12.41,12.81,0.00,0.41,0.94
110,52.81,12.63,13.16,0.00,0.41,0.94
111,52.03,12.55,13.36,-0.00,0.41,0.93
112,51.16,11.50,13.54,-0.01,0.42,0.94
113,51.10,10.34,13.68,-0.01,0.42,0.94
114,51.11,10.06,13.79,0.00,0.42,0.94
115,51.34,10.56,13.94,0.01,0.43,0.94
116,50.92,11.51,13.73,0.02,0.43,0.94
117,50.64,11.94,13.33,0.01,0.44,0.95
118,51.13,11.77,13.48,-0.01,0.43,0.94
119,51.69,11.74,14.03,-0.01,0.45,0.94
120,52.18,11.27,14.27,-0.01,0.45,0.93
121,52.47,10.52,13.97,-0.01,0.46,0.94
122,52.75,9.25,13.95,-0.00,0.46,0.93
123,53.08,7.86,14.12,-0.01,0.47,0.92
124,53.40,7.36,13.77,0.00,0.48,0.92
125,53.62,7.50,13.48,0.01,0.48,0.91
126,54.26,7.54,13.01,0.00,0.49,0.92
127,54.49,7.50,12.81,0.00,0.49,0.91
128,54.56,7.59,12.60,-0.00,0.50,0.89
129,54.55,8.09,12.75,0.01,0.51,0.89
130,53.92,8.56,12.73,0.01,0.52,0.89
131,53.62,9.76,12.75,0.02,0.52,0.89
132,53.40,10.52,12.96,0.02,0.52,0.88
133,53.10,11.21,12.37,0.01,0.53,0.89
134,52.99,11.10,11.95,0.01,0.53,0.89
135,53.15,10.31,11.34,0.01,0.53,0.88
136,53.10,9.18,11.27,-0.00,0.54,0.88
137,53.25,8.61,11.04,0.01,0.54,0.88
138,53.16,8.78,10.32,0.02,0.55,0.88
139,53.45,8.79,10.06,0.01,0.55,0.87
140,53.88,9.01,9.86,0.01,0.55,0.86
141,54.18,9.57,9.88,0.01,0.56,0.86
142,54.87,10.50,10.11,0.01,0.57,0.85
143,55.13,11.33,10.32,0.01,0.57,0.85
144,55.47,12.47,10.11,0.02,0.59,0.84
145,55.36,13.63,9.80,0.02,0.59,0.84
146,54.75,13.94,9.51,0.01,0.59,0.82
147,54.18,13.80,9.07,0.01,0.60,0.81
148,53.51,13.56,8.78,-0.01,0.61,0.81
149,52.96,12.90,9.05,-0.01,0.61,0.81
150,52.60,12.23,9.36,-0.02,0.61,0.81
151,52.40,11.54,9.36,-0.01,0.61,0.81
152,52.52,11.07,9.65,-0.02,0.61,0.81
153,52.76,11.53,9.89,-0.01,0.60,0.81
154,53.07,11.66,9.98,-0.01,0.61,0.81
155,53.44,11.54,9.88,-0.01,0.61,0.80
156,53.79,10.92,9.40,-0.02,0.62,0.80
157,54.47,10.60,9.30,-0.02,0.62,0.79
158,54.89,9.42,8.81,-0.03,0.63,0.79
159,55.34,7.51,8.73,-0.03,0.64,0.79
160,55.60,6.56,9.40,-0.04,0.64,0.77
161,55.79,6.35,9.73,-0.03,0.65,0.76
162,56.21,5.40,11.25,-0.04,0.66,0.78
163,55.73,7.21,10.95,-0.03,0.67,0.75
164,55.15,8.38,10.90,-0.02,0.68,0.75
165,55.08,8.87,11.02,-0.02,0.69,0.74
166,54.82,8.99,11.36,-0.02,0.69,0.73
167,54.09,8.99,11.47,-0.02,0.70,0.71
168,53.36,8.44,11.76,-0.02,0.70,0.71
169,52.63,8.73,11.31,-0.01,0.71,0.72
170,52.06,8.56,10.95,-0.01,0.70,0.71
171,51.92,8.67,11.44,-0.02,0.71,0.71
172,52.00,9.34,11.71,-0.02,0.71,0.71
173,52.26,10.23,12.15,-0.00,0.71,0.70
174,52.26,10.70,12.37,-0.00,0.72,0.71
175,51.98,11.59,12.95,-0.00,0.72,0.69
176,51.79,12.26,12.95,0.00,0.73,0.69
177,51.42,12.29,12.73,0.01,0.74,0.69
178,51.02,11.98,12.21,0.00,0.74,0.68
179,51.11,11.13,11.82,0.00,0.74,0.68
180,50.90,10.17,11.39,-0.00,0.74,0.68
181,50.98,9.19,10.75,0.00,0.75,0.68
182,51.21,8.52,9.97,0.01,0.75,0.68
183,51.34,7.30,9.34,0.01,0.76,0.67
184,51.50,6.44,9.44,0.00,0.76,0.66
185,51.59,5.60,9.31,-0.00,0.76,0.65
186,51.92,5.25,9.37,-0.01,0.76,0.66
187,51.89,5.31,9.37,0.00,0.77,0.66
188,52.00,5.92,9.22,-0.00,0.78,0.66
189,52.14,6.73,9.33,0.01,0.77,0.65
190,52.75,7.31,8.85,0.00,0.77,0.65
191,53.71,8.34,8.61,0.00,0.78,0.65
192,54.24,8.79,8.46,-0.01,0.78,0.64
193,54.87,8.52,8.20,-0.01,0.79,0.64
194,55.42,9.16,7.92,-0.01,0.79,0.62
195,55.83,9.27,8.47,-0.01,0.80,0.61
196,55.83,8.69,8.82,-0.02,0.80,0.59
197,55.40,8.47,9.01,-0.02,0.81,0.59
198,54.63,7.37,9.25,-0.01,0.83,0.57
199,53.71,6.89,9.28,-0.00,0.83,0.56
200,52.87,6.93,9.11,0.01,0.83,0.55
201,52.06,6.99,8.66,0.01,0.83,0.55
202,50.96,6.89,8.20,0.01,0.84,0.54
203,49.69,6.95,7.97,0.01,0.83,0.54
204,48.82,7.66,7.39,0.02,0.84,0.53
205,48.20,9.21,7.07,0.01,0.84,0.53
206,47.83,9.97,6.75,0.02,0.84,0.52
207,47.56,10.34,6.58,0.01,0.84,0.53
208,47.16,10.26,6.20,0.00,0.84,0.52
209,47.08,9.53,6.05,-0.01,0.85,0.51
210,46.69,8.24,6.09,-0.01,0.85,0.51
211,46.43,7.56,6.14,-0.01,0.85,0.50
212,46.32,6.41,6.32,-0.01,0.86,0.50
213,46.06,5.89,6.92,-0.01,0.87,0.49
214,46.34,6.15,7.31,-0.00,0.85,0.48
215,46.63,6.76,7.63,0.00,0.85,0.48
216,46.70,8.11,7.97,0.01,0.86,0.47
217,46.32,9.40,7.76,0.01,0.87,0.47
218,45.97,10.11,8.40,0.01,0.87,0.45
219,45.53,10.41,8.69,0.00,0.88,0.45
220,43.94,11.89,8.35,-0.01,0.89,0.44
221,43.80,10.34,9.47,-0.00,0.87,0.42
222,42.26,11.08,9.18,0.01,0.89,0.44
223,41.25,11.86,9.48,-0.00,0.89,0.43
224,40.58,12.90,9.92,0.00,0.90,0.42
225,39.94,12.29,10.02,0.00,0.90,0.43
226,39.10,11.36,9.51,0.00,0.90,0.42
227,38.44,10.37,9.21,0.01,0.89,0.42
228,37.97,9.45,8.95,0.00,0.89,0.43
229,37.95,8.08,8.38,0.01,0.90,0.42
230,38.23,6.43,8.23,-0.01,0.89,0.43
231,38.03,5.42,8.56,-0.01,0.90,0.43
232,38.40,4.63,8.64,-0.00,0.89,0.42
233,38.35,4.70,8.90,-0.00,0.90,0.40
234,36.53,8.24,7.95,0.02,0.91,0.39
235,38.35,5.21,9.24,0.01,0.91,0.39
236,37.54,6.26,8.37,0.02,0.91,0.39
237,37.68,7.10,8.61,0.02,0.91,0.40
238,37.57,7.85,8.76,0.02,0.91,0.39
