,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,1.98,-1.74,3.54,0.02,-0.04,1.04
1,1.59,-1.11,3.83,-0.00,-0.03,1.05
2,1.44,-1.10,3.92,0.01,-0.03,1.04
3,1.10,-1.22,4.21,0.01,-0.04,1.04
4,1.19,-1.16,4.66,0.01,-0.03,1.06
5,1.54,-0.85,5.02,0.01,-0.04,1.06
6,2.27,-0.40,5.07,0.01,-0.04,1.07
7,2.92,-0.18,5.42,0.01,-0.05,1.07
8,3.60,-0.02,5.63,0.01,-0.05,1.07
9,4.05,-0.40,5.45,0.02,-0.06,1.07
10,4.53,-1.13,5.16,0.02,-0.05,1.07
11,4.76,-2.21,5.18,0.01,-0.05,1.07
12,4.61,-2.84,4.95,0.02,-0.05,1.06
13,4.24,-3.22,4.92,0.01,-0.05,1.07
14,3.98,-2.52,4.85,0.03,-0.04,1.05
15,3.36,-1.97,4.66,0.03,-0.05,1.06
16,2.87,-1.57,4.95,0.03,-0.05,1.06
17,2.34,-0.66,4.95,0.03,-0.04,1.06
18,1.79,-0.82,5.18,0.03,-0.05,1.06
19,1.69,-1.05,5.05,0.02,-0.05,1.07
20,1.62,-2.20,5.07,0.03,-0.05,1.08
21,2.02,-2.63,5.28,0.03,-0.05,1.09
22,2.29,-3.89,5.33,0.04,-0.05,1.09
23,2.61,-3.65,5.27,0.05,-0.05,1.09
24,3.15,-3.85,5.16,0.05,-0.06,1.10
25,4.50,-3.85,4.75,0.06,-0.06,1.11
26,6.17,-2.37,4.99,0.06,-0.06,1.13
27,7.97,-1.57,5.10,0.06,-0.06,1.13
28,9.40,-0.66,4.55,0.06,-0.06,1.14
29,10.72,-0.05,4.84,0.06,-0.06,1.14
30,12.52,0.69,5.33,0.06,-0.07,1.16
31,13.91,1.40,5.31,0.05,-0.07,1.17
32,14.92,1.89,5.48,0.06,-0.06,1.18
33,15.88,2.09,5.65,0.06,-0.06,1.17
34,17.05,3.80,6.18,0.05,-0.07,1.19
35,18.26,4.78,6.56,0.05,-0.06,1.18
36,18.82,6.99,6.61,0.06,-0.07,1.19
37,20.05,8.66,6.02,0.07,-0.06,1.19
38,20.82,10.31,5.79,0.06,-0.07,1.20
39,21.50,11.34,6.15,0.06,-0.07,1.22
40,22.85,10.08,6.08,0.03,-0.08,1.22
41,24.06,13.50,5.76,0.06,-0.09,1.23
42,25.39,13.08,4.66,0.05,-0.08,1.22
43,26.49,12.47,3.76,0.04,-0.08,1.22
44,26.84,12.70,4.02,0.02,-0.08,1.22
45,28.67,12.87,3.91,0.02,-0.07,1.23
46,30.15,12.99,4.41,0.01,-0.08,1.21
47,31.47,13.42,4.43,0.01,-0.06,1.21
48,32.81,14.09,4.27,0.02,-0.05,1.21
49,34.82,14.66,4.29,0.01,-0.05,1.20
50,36.69,15.07,4.08,0.02,-0.04,1.18
51,37.36,16.23,4.08,0.02,-0.04,1.20
52,39.77,15.65,3.82,-0.00,-0.03,1.17
53,39.73,14.70,3.91,-0.00,-0.01,1.14
54,39.31,14.32,4.11,-0.00,-0.00,1.12
55,39.22,14.21,4.08,-0.01,0.00,1.11
56,39.71,14.85,4.00,0.00,0.00,1.12
57,40.17,15.25,3.73,-0.01,0.01,1.11
58,40.37,15.69,3.82,-0.02,0.01,1.10
59,40.61,15.51,4.58,-0.02,0.02,1.09
60,41.40,16.03,4.56,-0.02,0.02,1.10
61,41.48,14.06,4.56,-0.02,0.04,1.08
62,41.25,14.26,4.63,-0.02,0.05,1.08
63,41.97,12.96,4.90,-0.02,0.05,1.08
64,42.05,12.84,4.93,-0.03,0.06,1.07
65,43.04,13.28,4.92,-0.03,0.06,1.07
66,42.23,14.40,5.16,-0.02,0.06,1.05
67,42.32,14.43,5.21,-0.03,0.08,1.05
68,43.42,13.66,5.42,-0.03,0.09,1.04
69,42.49,14.00,5.18,-0.04,0.08,1.05
70,41.24,13.62,5.01,-0.04,0.09,1.02
71,40.27,11.94,5.39,-0.05,0.10,1.04
72,39.88,10.50,5.39,-0.06,0.10,1.04
73,40.31,10.29,5.68,-0.05,0.11,1.05
74,39.65,9.80,6.35,-0.06,0.13,1.04
75,39.50,10.11,6.72,-0.05,0.13,1.04
76,39.40,9.76,7.28,-0.05,0.13,1.05
77,40.12,9.86,7.69,-0.04,0.13,1.06
78,40.56,9.83,7.60,-0.04,0.13,1.05
79,40.79,8.73,7.33,-0.04,0.13,1.04
80,41.08,8.06,7.33,-0.03,0.13,1.05
81,41.27,7.94,7.51,-0.04,0.14,1.05
82,41.21,7.86,7.36,-0.02,0.14,1.04
83,40.79,8.23,7.07,-0.03,0.14,1.04
84,40.85,8.78,6.90,-0.02,0.15,1.04
85,40.63,9.10,6.85,-0.02,0.15,1.03
86,40.64,9.21,6.67,-0.03,0.16,1.04
87,40.53,9.04,6.41,-0.03,0.16,1.04
88,40.53,8.87,6.23,-0.02,0.16,1.03
89,40.79,8.55,6.37,-0.03,0.16,1.03
90,41.07,8.96,6.50,-0.03,0.17,1.02
91,41.18,9.08,6.46,-0.03,0.18,1.02
