,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,2.98,-3.39,18.89,0.02,-0.08,1.09
1,3.08,-4.69,18.79,0.02,-0.07,1.11
2,3.71,-5.80,19.13,0.02,-0.08,1.12
3,4.89,-4.64,19.89,0.03,-0.09,1.12
4,5.50,-3.30,20.99,0.03,-0.08,1.12
5,5.82,-1.40,21.82,0.03,-0.08,1.12
6,6.90,0.09,22.95,0.03,-0.08,1.12
7,7.56,1.54,23.76,0.03,-0.08,1.12
8,8.44,2.50,24.78,0.03,-0.08,1.11
9,8.21,2.98,25.69,0.02,-0.08,1.11
10,8.29,4.20,26.23,0.02,-0.08,1.10
11,8.29,5.01,26.78,0.02,-0.07,1.11
12,8.43,5.54,27.27,0.02,-0.07,1.09
13,8.34,6.11,27.73,0.02,-0.07,1.10
14,7.66,5.86,27.40,0.02,-0.07,1.10
15,8.08,4.95,27.73,0.01,-0.07,1.09
16,7.68,3.28,27.73,0.00,-0.07,1.11
17,8.35,2.47,27.71,0.00,-0.07,1.10
18,9.04,1.74,28.24,0.01,-0.07,1.09
19,9.30,2.87,28.72,0.01,-0.07,1.08
20,10.11,2.84,29.10,0.00,-0.07,1.09
21,10.89,3.48,29.74,0.00,-0.07,1.07
22,11.53,2.95,30.15,-0.00,-0.07,1.07
23,10.98,2.47,31.10,-0.01,-0.06,1.07
24,11.74,2.06,31.80,-0.01,-0.07,1.05
25,12.38,0.41,32.47,-0.02,-0.06,1.05
26,9.66,-1.37,32.52,-0.01,-0.04,1.06
27,10.24,-2.35,32.21,-0.01,-0.06,1.03
28,9.69,-3.68,32.18,-0.02,-0.05,1.05
29,9.21,-4.52,32.92,-0.01,-0.05,1.04
30,8.63,-4.76,33.25,-0.00,-0.05,1.04
31,8.11,-4.35,33.56,-0.00,-0.05,1.04
32,7.65,-3.74,34.12,0.00,-0.05,1.04
33,7.39,-2.99,34.70,0.02,-0.05,1.03
34,6.78,-1.42,35.56,0.01,-0.04,1.04
35,6.20,0.05,36.47,0.01,-0.05,1.05
36,5.86,0.92,36.95,0.01,-0.05,1.05
37,5.50,1.08,36.85,0.01,-0.05,1.05
38,4.84,0.81,37.34,0.01,-0.05,1.06
39,4.90,-0.21,37.51,0.01,-0.05,1.05
40,4.75,-1.42,37.50,0.01,-0.05,1.06
41,4.82,-2.34,37.42,0.01,-0.05,1.06
42,5.50,-3.01,37.48,0.01,-0.05,1.06
43,5.08,-3.71,38.06,0.01,-0.06,1.08
44,5.42,-4.02,39.10,0.01,-0.06,1.06
45,5.66,-4.32,39.71,0.02,-0.05,1.06
46,5.80,-3.76,40.29,0.03,-0.05,1.07
47,5.48,-2.99,40.52,0.03,-0.05,1.07
48,5.56,-2.06,40.82,0.04,-0.05,1.07
49,5.65,-1.31,40.69,0.05,-0.04,1.07
50,5.74,-0.49,40.76,0.05,-0.04,1.07
51,5.89,-0.55,40.21,0.04,-0.03,1.07
52,6.11,-1.36,40.12,0.03,-0.03,1.07
53,6.29,-2.17,40.03,0.03,-0.03,1.06
54,5.85,-2.87,40.29,0.03,-0.03,1.07
55,5.59,-3.97,40.67,0.03,-0.03,1.06
56,5.36,-3.91,40.87,0.05,-0.03,1.06
57,5.30,-3.40,40.84,0.05,-0.03,1.07
58,5.05,-2.61,41.13,0.06,-0.04,1.08
59,5.47,-1.76,41.73,0.06,-0.03,1.08
60,6.00,0.69,41.77,0.08,-0.04,1.08
61,6.37,3.22,41.83,0.07,-0.04,1.09
62,6.67,5.47,41.74,0.09,-0.04,1.08
63,6.73,7.05,41.53,0.09,-0.04,1.09
64,7.05,9.59,42.08,0.10,-0.03,1.09
65,6.90,11.53,41.77,0.10,-0.02,1.08
66,7.15,12.46,41.51,0.09,-0.03,1.08
67,7.11,12.44,40.98,0.08,-0.03,1.08
68,7.51,11.74,40.49,0.08,-0.02,1.09
69,7.56,10.17,39.95,0.08,-0.02,1.09
70,7.83,7.98,39.10,0.06,-0.02,1.06
71,8.23,5.79,38.31,0.06,-0.02,1.06
72,8.82,4.75,37.34,0.06,-0.02,1.06
73,9.36,4.34,36.89,0.07,-0.02,1.05
74,9.24,5.48,36.75,0.08,-0.02,1.06
75,9.33,6.92,36.84,0.07,-0.01,1.04
76,8.84,8.52,37.04,0.07,-0.01,1.03
77,7.89,9.28,37.07,0.06,-0.01,1.03
78,7.02,10.18,37.42,0.05,-0.00,1.01
79,6.18,10.58,38.11,0.04,-0.00,1.02
80,5.59,10.64,38.99,0.04,-0.00,1.02
81,4.72,9.44,39.24,0.02,-0.00,1.01
82,4.82,8.11,39.79,0.03,-0.01,1.02
83,4.20,5.92,39.98,0.01,-0.01,1.03
84,3.66,4.27,40.12,0.01,-0.01,1.03
85,3.65,1.36,39.95,0.01,-0.01,1.04
86,3.65,-1.30,39.69,0.00,-0.02,1.05
87,2.84,-3.36,39.86,0.01,-0.01,1.05
88,3.04,-4.46,40.14,0.01,-0.02,1.05
89,1.66,-5.63,40.23,0.01,-0.01,1.06
90,1.25,-5.85,40.75,0.02,-0.01,1.06
91,1.53,-6.27,41.04,0.02,-0.02,1.07
92,2.87,-4.72,42.67,0.03,-0.01,1.07
93,9.21,-1.94,46.05,0.05,-0.03,1.11
94,5.68,-3.98,42.76,0.01,-0.03,1.05
95,4.31,-2.47,45.24,0.03,0.00,1.09
96,3.68,-2.70,44.23,0.02,-0.01,1.08
97,4.24,-2.81,44.34,0.03,-0.01,1.07
