,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
112,1.89,0.05,1.45,0.01,-0.21,1.02
113,0.49,0.31,2.06,0.03,-0.20,1.04
114,0.23,-0.92,1.54,0.03,-0.20,1.05
115,0.56,-0.49,1.36,0.03,-0.20,1.03
116,0.18,-0.05,1.39,0.04,-0.19,1.04
117,-0.27,-0.24,1.30,0.03,-0.19,1.04
118,-0.55,-0.41,0.87,0.03,-0.19,1.05
119,-0.61,-0.84,0.52,0.03,-0.19,1.04
120,-0.60,-0.50,0.37,0.04,-0.19,1.05
121,-0.55,-0.02,-0.11,0.04,-0.20,1.05
122,-0.43,-0.09,-0.23,0.03,-0.19,1.04
123,-0.90,-0.35,-0.27,0.03,-0.19,1.04
124,-0.93,-0.03,-0.37,0.03,-0.19,1.05
125,-0.89,0.05,-0.14,0.03,-0.20,1.05
126,-0.87,-0.31,-0.53,0.02,-0.20,1.04
127,-0.85,-0.12,-0.66,0.03,-0.20,1.05
128,-0.84,0.72,-0.81,0.03,-0.21,1.05
129,-0.58,0.84,-0.78,0.02,-0.21,1.06
130,-0.50,0.70,-0.66,0.01,-0.21,1.05
131,-0.15,0.50,-0.52,0.01,-0.21,1.06
132,-0.29,-0.06,-0.63,0.01,-0.21,1.05
133,-0.27,0.00,-0.55,0.00,-0.21,1.06
134,0.00,0.44,-0.12,0.00,-0.21,1.06
135,0.47,0.64,0.17,-0.00,-0.21,1.06
136,0.53,0.34,0.75,0.00,-0.21,1.05
137,0.35,0.38,0.56,-0.01,-0.22,1.05
138,0.37,0.29,0.82,0.01,-0.21,1.05
139,0.31,0.29,1.07,0.00,-0.21,1.05
140,0.06,0.70,0.95,0.00,-0.22,1.05
141,0.03,0.43,1.18,0.00,-0.22,1.04
142,-0.23,0.12,1.28,-0.01,-0.21,1.05
143,-0.02,-0.17,1.34,-0.01,-0.21,1.05
144,0.32,0.08,1.66,0.00,-0.21,1.05
145,0.69,-0.06,1.74,0.00,-0.21,1.04
146,0.81,-0.29,1.69,0.00,-0.20,1.04
147,0.52,-0.27,2.18,0.01,-0.20,1.03
148,0.27,0.26,2.11,0.01,-0.20,1.04
149,-0.08,0.00,2.08,0.01,-0.20,1.04
150,-0.35,0.24,1.97,0.01,-0.20,1.03
151,-0.35,0.14,2.02,0.01,-0.20,1.04
152,-0.70,0.09,2.08,0.02,-0.20,1.04
153,-0.90,0.20,2.03,0.02,-0.20,1.04
154,-1.07,0.26,1.92,0.02,-0.19,1.04
155,-1.02,0.23,1.91,0.02,-0.20,1.05
156,-1.02,0.35,1.79,0.02,-0.21,1.05
157,-0.99,0.21,1.56,0.02,-0.21,1.06
158,-0.95,-0.05,1.53,0.02,-0.21,1.06
159,-1.01,-0.41,1.54,0.02,-0.21,1.05
160,-0.78,-0.29,1.36,0.02,-0.21,1.06
161,-0.23,-0.79,1.36,0.01,-0.22,1.06
162,-0.20,-0.72,1.13,0.01,-0.21,1.07
163,0.02,-0.61,1.53,0.01,-0.22,1.06
