,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,11.53,0.03,20.24,-0.01,-0.04,1.08
1,11.71,-1.44,20.00,-0.02,-0.03,1.07
2,11.62,-3.15,19.97,-0.03,-0.03,1.07
3,11.16,-5.45,20.14,-0.02,-0.03,1.07
4,10.90,-6.73,20.14,-0.00,-0.03,1.07
5,10.49,-8.02,20.26,-0.01,-0.03,1.09
6,10.75,-6.69,20.38,0.01,-0.03,1.08
7,11.33,-4.02,20.85,0.02,-0.02,1.06
8,11.97,-1.45,20.31,0.02,-0.02,1.06
9,12.90,0.90,20.55,0.01,-0.02,1.05
10,12.61,2.40,20.79,-0.00,-0.01,1.03
11,12.23,1.89,21.07,-0.02,-0.00,1.03
12,11.18,0.12,20.96,-0.01,-0.00,1.02
13,9.97,-2.37,20.87,-0.01,-0.00,1.01
14,8.89,-5.51,21.10,-0.02,-0.00,1.02
15,7.56,-8.53,21.82,-0.02,-0.00,1.02
16,7.16,-12.09,21.57,-0.03,-0.01,1.04
17,8.03,-14.11,21.59,-0.01,-0.00,1.03
18,7.05,-12.14,22.24,0.00,0.01,1.03
19,7.36,-11.22,22.52,0.01,-0.00,1.03
20,8.60,-10.70,22.15,0.02,-0.01,1.04
21,8.26,-9.42,22.49,0.03,-0.00,1.06
22,7.45,-6.75,22.02,0.04,0.00,1.06
23,6.85,-3.54,22.09,0.05,0.00,1.07
24,7.50,-3.92,21.77,0.03,-0.00,1.08
25,6.98,-2.89,21.16,0.04,0.00,1.08
26,7.24,-1.85,20.41,0.04,0.00,1.06
27,6.84,0.99,20.38,0.04,0.01,1.06
28,7.95,1.07,19.30,0.02,0.00,1.06
29,8.96,1.74,19.56,0.02,0.01,1.06
30,9.74,1.82,19.27,0.01,0.01,1.05
31,9.48,3.39,19.59,0.01,0.01,1.04
32,9.30,4.41,19.77,-0.01,0.02,1.04
33,9.24,3.13,20.73,-0.02,0.02,1.03
34,8.47,0.61,21.63,-0.02,0.02,1.03
35,8.06,-0.38,21.66,-0.02,0.02,1.03
36,7.07,-1.34,21.57,-0.01,0.02,1.02
37,6.18,-1.82,21.82,-0.02,0.02,1.01
38,5.37,-3.85,21.94,-0.02,0.02,1.03
39,4.67,-4.43,22.12,-0.02,0.02,1.03
40,3.92,-4.24,22.31,-0.02,0.02,1.04
41,3.02,-4.34,23.05,-0.02,0.02,1.04
42,3.22,-4.50,23.04,-0.02,0.02,1.03
43,3.57,-4.82,24.29,-0.02,0.02,1.05
44,3.47,-5.33,24.06,-0.01,0.02,1.06
45,3.21,-4.26,24.31,-0.00,0.02,1.04
46,3.60,-4.70,24.29,-0.01,0.02,1.05
47,3.02,-6.47,24.67,-0.01,0.02,1.07
48,2.73,-7.92,24.14,-0.00,0.01,1.07
49,2.53,-9.50,24.75,0.00,0.02,1.08
50,3.40,-11.11,25.33,-0.01,0.01,1.08
51,3.79,-10.41,25.60,0.01,0.01,1.07
52,4.47,-8.61,25.77,0.00,0.01,1.08
53,4.98,-4.35,26.38,0.02,0.01,1.08
54,5.51,-1.19,26.85,0.01,0.01,1.07
55,5.66,1.31,27.69,0.01,0.01,1.08
56,5.65,2.23,28.18,0.01,0.01,1.08
57,5.01,3.42,29.19,0.00,0.02,1.08
58,4.40,2.44,29.57,-0.01,0.02,1.09
59,4.82,0.06,30.14,-0.01,0.01,1.09
60,5.11,-3.82,30.34,-0.02,0.01,1.09
61,5.44,-6.23,30.12,-0.00,0.02,1.09
62,6.27,-8.00,29.63,-0.00,0.01,1.09
63,7.27,-9.04,29.19,0.01,0.01,1.09
64,7.83,-9.69,29.57,-0.01,0.02,1.08
65,8.81,-9.10,29.89,0.00,0.01,1.07
66,8.61,-8.20,30.56,-0.00,0.02,1.07
67,8.46,-7.28,31.24,0.00,0.02,1.07
68,8.09,-7.13,32.40,-0.00,0.02,1.07
69,7.10,-7.15,33.30,-0.00,0.02,1.07
70,6.27,-7.27,34.14,0.02,0.02,1.07
71,5.47,-6.61,34.49,0.02,0.02,1.07
72,4.87,-6.38,34.85,0.03,0.02,1.08
73,4.27,-6.46,35.01,0.03,0.03,1.08
74,4.85,-5.80,35.24,0.03,0.02,1.08
75,5.65,-5.73,35.05,0.03,0.01,1.09
