,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
117,41.22,3.28,9.91,-0.03,0.55,0.88
118,41.50,3.80,9.83,-0.04,0.55,0.89
119,41.92,4.34,10.08,-0.03,0.56,0.88
120,42.70,4.05,9.74,-0.03,0.56,0.88
121,43.50,2.93,9.45,-0.03,0.57,0.87
122,44.18,1.92,8.99,-0.03,0.56,0.88
123,44.56,1.16,8.35,-0.03,0.57,0.87
124,45.18,0.76,8.18,-0.03,0.58,0.86
125,45.74,0.31,8.00,-0.03,0.59,0.85
126,46.00,-0.12,8.02,-0.02,0.59,0.84
127,45.42,-0.11,7.80,-0.02,0.59,0.84
128,45.01,0.18,8.02,-0.02,0.60,0.83
129,44.69,0.49,8.03,-0.03,0.61,0.83
130,44.52,0.69,8.53,-0.02,0.62,0.82
131,44.18,0.70,8.50,-0.03,0.62,0.83
132,44.23,0.89,8.49,-0.03,0.62,0.81
133,43.98,0.75,8.46,-0.02,0.63,0.82
134,44.18,1.22,8.47,-0.02,0.63,0.82
135,44.17,1.39,8.63,-0.02,0.63,0.82
136,44.20,1.40,8.63,-0.02,0.64,0.81
137,44.53,1.54,8.47,-0.02,0.64,0.81
138,44.37,1.60,8.55,-0.01,0.64,0.81
139,44.31,2.26,8.50,-0.01,0.64,0.81
140,44.40,2.76,8.37,-0.02,0.65,0.80
141,44.67,3.24,8.82,-0.02,0.65,0.80
142,44.87,3.40,9.31,-0.02,0.66,0.80
143,45.33,3.44,9.44,-0.02,0.65,0.79
144,45.82,3.22,9.28,-0.02,0.66,0.80
145,46.26,2.89,9.22,-0.01,0.67,0.78
146,46.64,3.13,9.27,-0.01,0.67,0.79
147,46.87,3.53,9.37,-0.01,0.68,0.78
148,46.72,3.13,8.98,-0.01,0.69,0.77
149,46.64,2.99,8.73,-0.01,0.69,0.76
150,46.41,1.83,8.66,-0.01,0.69,0.76
151,45.83,0.63,8.61,-0.02,0.69,0.75
152,45.44,-0.02,8.49,-0.01,0.69,0.75
153,45.39,0.03,8.44,-0.00,0.69,0.77
154,45.59,0.58,8.02,0.01,0.69,0.76
155,46.31,1.39,7.86,0.00,0.69,0.77
156,46.93,2.40,7.54,0.01,0.69,0.76
157,47.44,2.98,7.48,0.00,0.70,0.76
158,48.23,3.71,7.25,-0.00,0.70,0.75
159,48.79,3.44,7.19,-0.00,0.70,0.75
160,49.37,2.79,7.04,-0.01,0.72,0.75
161,50.06,2.79,6.85,-0.00,0.71,0.74
162,50.47,2.52,6.92,-0.01,0.72,0.73
163,51.05,2.00,6.87,-0.02,0.73,0.73
164,51.34,2.87,6.92,-0.00,0.73,0.72
165,51.47,3.51,7.01,-0.01,0.73,0.71
166,51.33,3.85,7.16,-0.01,0.74,0.70
167,51.27,3.60,6.87,-0.01,0.74,0.70
168,51.45,3.19,7.02,-0.02,0.75,0.70
169,51.34,2.49,6.79,-0.02,0.74,0.69
170,51.01,1.62,6.85,-0.02,0.76,0.68
171,50.99,1.27,7.07,-0.02,0.75,0.67
172,50.93,0.61,7.08,-0.03,0.76,0.68
173,51.28,0.34,7.31,-0.02,0.76,0.68
174,51.40,0.29,7.45,-0.02,0.76,0.68
175,51.34,0.44,7.53,-0.01,0.77,0.66
176,51.69,0.41,7.92,-0.02,0.77,0.66
177,52.21,1.54,8.53,-0.01,0.78,0.65
178,52.35,2.12,8.81,-0.01,0.78,0.65
179,52.61,3.18,9.15,0.00,0.78,0.64
180,52.76,4.46,9.57,0.00,0.79,0.63
181,52.72,5.98,9.82,0.00,0.80,0.63
182,52.52,6.24,9.88,-0.00,0.80,0.62
183,52.46,6.24,9.94,-0.01,0.80,0.61
184,52.26,6.02,9.74,-0.01,0.81,0.61
185,51.92,5.02,10.00,-0.01,0.81,0.60
186,51.71,3.92,10.11,-0.02,0.81,0.59
187,51.57,2.43,10.18,-0.01,0.81,0.59
188,51.10,1.16,10.21,-0.01,0.82,0.58
189,50.90,0.49,10.38,-0.00,0.82,0.58
190,50.82,0.76,10.41,0.01,0.82,0.57
191,50.08,0.82,10.38,0.02,0.83,0.56
192,49.60,1.22,9.73,0.02,0.84,0.55
193,48.95,1.57,9.44,0.04,0.83,0.56
194,48.53,2.31,8.75,0.03,0.84,0.55
195,48.85,2.82,8.08,0.04,0.84,0.54
196,48.47,3.94,7.16,0.04,0.84,0.55
197,47.88,3.48,5.77,0.04,0.83,0.55
198,48.90,3.40,5.39,0.04,0.85,0.54
199,48.78,5.36,5.13,0.04,0.84,0.53
200,48.17,4.61,4.14,0.03,0.85,0.53
201,48.14,4.84,3.71,0.04,0.85,0.53
202,48.29,4.53,3.65,0.02,0.85,0.52
203,48.55,3.08,3.53,0.02,0.86,0.51
204,48.63,2.12,3.28,0.01,0.86,0.50
205,48.63,0.85,2.98,0.01,0.87,0.50
206,48.06,-0.27,2.93,0.01,0.86,0.49
207,47.68,-1.42,2.85,0.01,0.87,0.49
208,48.03,-2.26,2.84,0.01,0.87,0.49
209,48.21,-2.31,2.55,0.02,0.87,0.49
210,48.12,-2.24,2.38,0.02,0.87,0.48
211,48.14,-2.34,2.11,0.01,0.87,0.48
212,48.60,-1.04,2.44,0.02,0.87,0.49
213,49.11,-0.21,2.64,0.02,0.87,0.48
214,49.66,0.49,3.13,0.02,0.87,0.48
215,50.03,1.11,3.63,0.02,0.87,0.48
216,50.63,1.77,3.85,0.01,0.87,0.47
217,51.19,1.95,4.66,0.01,0.88,0.45
218,51.60,2.76,4.85,0.01,0.88,0.45
219,51.48,2.52,4.52,0.02,0.88,0.45
220,52.99,1.39,4.66,0.01,0.89,0.44
221,52.92,3.22,5.11,0.02,0.90,0.42
222,52.44,2.84,4.43,0.02,0.90,0.42
223,52.90,2.40,3.91,0.02,0.90,0.43
224,53.34,2.49,4.17,0.01,0.90,0.42
225,53.80,1.39,4.44,-0.00,0.90,0.41
226,54.08,0.12,4.60,-0.00,0.90,0.39
227,54.29,-0.60,4.76,0.00,0.91,0.39
228,54.34,-0.50,4.99,0.00,0.92,0.39
229,54.38,-0.29,5.42,0.01,0.91,0.38
230,54.49,-0.23,6.02,0.01,0.92,0.36
231,54.56,0.12,5.98,0.02,0.93,0.34
232,53.92,0.50,5.91,0.01,0.93,0.35
233,53.76,0.20,6.02,0.01,0.93,0.33
234,53.71,0.26,6.47,0.01,0.93,0.34
235,53.31,0.93,7.08,0.01,0.93,0.34
236,53.05,0.87,7.62,0.01,0.94,0.32
237,52.40,1.34,8.26,0.01,0.94,0.33
238,51.60,1.65,8.76,0.01,0.94,0.31
239,51.44,1.80,9.28,0.00,0.94,0.32
240,50.76,2.46,9.88,0.01,0.94,0.31
241,50.27,2.17,9.89,0.02,0.94,0.31
242,49.69,2.05,9.74,0.02,0.93,0.31
243,49.89,1.91,10.12,0.01,0.94,0.31
244,49.92,0.81,10.37,0.01,0.94,0.30
245,50.23,0.23,10.49,0.02,0.93,0.30
246,50.49,-0.35,10.15,0.01,0.93,0.31
247,50.92,-1.07,9.71,0.02,0.94,0.29
248,51.28,-1.59,9.33,0.02,0.94,0.29
249,51.22,-2.35,8.89,0.02,0.94,0.28
250,51.37,-1.98,8.63,0.03,0.94,0.29
251,51.74,-1.50,8.61,0.04,0.94,0.28
252,52.17,-0.75,8.23,0.05,0.95,0.27
253,52.20,0.46,7.69,0.05,0.94,0.26
254,52.40,1.15,6.92,0.05,0.95,0.27
255,52.58,0.70,6.75,0.04,0.95,0.26
256,52.47,-0.37,6.32,0.03,0.95,0.25
257,51.95,-2.08,6.11,0.03,0.95,0.23
258,51.25,-3.51,6.14,0.02,0.96,0.22
259,50.31,-5.05,6.55,0.02,0.96,0.21
260,49.34,-5.57,7.05,0.03,0.96,0.22
261,48.70,-5.71,7.11,0.03,0.96,0.21
262,48.38,-6.09,6.38,0.05,0.96,0.21
263,47.95,-6.46,5.51,0.05,0.96,0.21
264,48.11,-6.41,5.08,0.05,0.96,0.22
265,49.01,-5.40,4.73,0.06,0.95,0.21
266,50.29,-4.78,4.55,0.05,0.95,0.22
267,51.28,-3.98,4.37,0.05,0.95,0.22
268,51.82,-3.89,4.58,0.04,0.95,0.21
269,52.63,-3.48,4.78,0.04,0.96,0.19
270,53.91,-3.05,5.37,0.03,0.96,0.19
271,54.52,-2.82,5.68,0.04,0.96,0.19
272,54.72,-2.67,6.02,0.03,0.95,0.17
273,54.84,-2.15,6.06,0.03,0.95,0.17
274,55.71,-2.09,6.46,0.03,0.95,0.17
275,56.53,-1.42,6.89,0.02,0.96,0.15
276,57.10,-1.05,7.28,0.02,0.95,0.15
277,57.86,-0.20,7.62,0.03,0.95,0.14
278,58.58,1.08,8.41,0.03,0.95,0.13
279,59.22,1.73,9.04,0.02,0.95,0.13
280,59.73,2.02,9.48,0.02,0.95,0.12
281,60.60,2.35,9.97,0.03,0.95,0.11
282,61.30,2.82,10.90,0.03,0.95,0.11
283,61.97,2.96,11.66,0.03,0.95,0.09
284,62.73,2.60,11.77,0.03,0.95,0.07
285,63.39,2.20,12.23,0.04,0.95,0.08
286,63.71,2.55,12.61,0.03,0.95,0.07
287,64.06,2.00,13.30,0.03,0.95,0.05
288,63.82,1.77,13.65,0.04,0.96,0.03
289,63.07,1.91,13.92,0.04,0.96,0.03
290,62.66,1.89,14.35,0.05,0.96,0.01
291,62.35,1.48,14.23,0.05,0.96,0.01
292,61.95,1.60,14.61,0.05,0.95,-0.00
293,61.76,1.80,14.49,0.05,0.95,0.01
294,61.53,2.18,14.92,0.06,0.95,-0.01
295,61.60,3.57,15.31,0.06,0.95,-0.02
296,62.03,4.49,16.03,0.06,0.95,-0.03
297,62.27,5.65,16.81,0.06,0.95,-0.02
298,62.27,6.21,17.68,0.06,0.95,-0.04
299,62.52,6.64,17.85,0.07,0.94,-0.03
300,62.47,6.40,18.27,0.07,0.94,-0.04
301,62.79,6.09,18.34,0.07,0.94,-0.05
302,63.44,5.97,18.09,0.08,0.93,-0.05
303,63.82,5.74,17.82,0.08,0.94,-0.05
304,64.49,5.24,17.80,0.07,0.92,-0.08
305,64.21,6.95,16.89,0.09,0.93,-0.08
306,63.13,2.89,18.29,0.08,0.93,-0.09
307,62.95,6.41,18.11,0.09,0.95,-0.12
308,63.95,3.45,18.78,0.08,0.94,-0.11
309,63.97,4.02,18.38,0.10,0.95,-0.11
310,64.26,2.96,18.85,0.10,0.94,-0.13
311,64.09,3.36,19.04,0.11,0.94,-0.13
312,64.21,3.73,19.22,0.11,0.94,-0.14
313,64.70,3.97,18.90,0.13,0.93,-0.14
314,65.36,4.76,18.69,0.12,0.92,-0.16
315,65.42,5.10,18.26,0.13,0.93,-0.16
316,65.76,5.02,17.83,0.13,0.92,-0.18
317,64.53,5.18,17.89,0.14,0.92,-0.17
318,66.23,4.09,17.57,0.14,0.91,-0.18
319,65.37,4.06,17.66,0.14,0.92,-0.19
320,64.99,4.41,17.33,0.15,0.92,-0.20
321,64.12,4.58,17.34,0.15,0.93,-0.20
322,63.59,6.03,17.21,0.16,0.92,-0.21
323,63.19,7.69,16.89,0.16,0.91,-0.21
324,63.25,9.68,17.07,0.16,0.91,-0.21
325,63.63,10.90,17.16,0.16,0.91,-0.22
326,63.22,12.24,17.18,0.16,0.89,-0.22
