,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,8.47,2.63,13.22,0.17,-0.08,1.04
1,8.27,4.03,13.15,0.17,-0.07,1.04
2,7.97,4.52,13.04,0.17,-0.07,1.03
3,7.66,4.21,13.07,0.16,-0.06,1.01
4,7.71,3.48,13.34,0.16,-0.07,1.02
5,7.13,1.95,13.24,0.16,-0.06,1.01
6,6.90,0.72,12.87,0.17,-0.06,1.01
7,6.60,0.46,12.38,0.17,-0.06,1.01
8,6.12,-0.73,12.40,0.15,-0.06,1.03
9,5.88,-1.28,12.37,0.15,-0.06,1.03
10,5.71,-1.25,12.63,0.14,-0.06,1.03
11,5.86,-1.77,12.90,0.13,-0.06,1.04
12,5.69,-1.18,12.99,0.12,-0.05,1.05
13,5.74,-0.43,13.36,0.12,-0.06,1.06
14,6.00,-0.64,13.89,0.11,-0.06,1.05
15,5.95,-1.57,14.02,0.11,-0.07,1.06
16,5.88,-2.02,14.66,0.10,-0.07,1.05
17,5.60,-2.49,14.87,0.11,-0.07,1.05
18,5.08,-3.71,15.36,0.10,-0.07,1.05
19,4.58,-4.82,15.68,0.11,-0.08,1.04
20,3.77,-5.04,16.21,0.11,-0.07,1.05
21,3.28,-3.91,16.53,0.12,-0.08,1.05
22,2.78,-3.01,16.76,0.11,-0.07,1.05
23,3.10,-2.06,17.22,0.12,-0.07,1.08
24,3.54,-0.58,17.88,0.12,-0.07,1.07
25,3.94,0.38,18.38,0.10,-0.08,1.06
26,4.43,-0.29,19.24,0.10,-0.08,1.08
27,4.82,-2.17,20.12,0.10,-0.09,1.07
28,5.16,-3.42,20.67,0.11,-0.09,1.07
29,5.04,-3.66,21.25,0.11,-0.09,1.06
30,4.79,-3.45,21.42,0.12,-0.09,1.06
31,5.48,-5.27,21.39,0.12,-0.09,1.06
32,5.83,-6.73,21.42,0.12,-0.09,1.06
33,6.40,-7.45,21.80,0.12,-0.09,1.07
34,6.49,-8.20,22.00,0.13,-0.09,1.07
35,6.34,-7.44,21.88,0.13,-0.09,1.06
36,6.14,-5.91,22.44,0.14,-0.10,1.06
37,6.32,-9.36,22.76,0.13,-0.09,1.06
38,6.41,-11.33,22.72,0.14,-0.09,1.08
39,6.55,-10.05,22.60,0.16,-0.09,1.09
40,6.47,-8.75,22.70,0.15,-0.09,1.09
41,6.84,-7.24,23.02,0.15,-0.09,1.09
42,7.13,-7.69,23.13,0.15,-0.09,1.09
43,6.98,-7.98,23.51,0.16,-0.09,1.10
44,7.22,-7.88,23.74,0.16,-0.11,1.08
45,7.15,-7.65,24.00,0.15,-0.10,1.08
46,7.02,-7.25,24.44,0.15,-0.10,1.08
47,6.93,-7.01,25.01,0.15,-0.10,1.08
48,6.76,-6.63,25.60,0.15,-0.10,1.08
49,6.63,-5.73,26.06,0.16,-0.11,1.08
50,6.43,-5.73,26.23,0.16,-0.10,1.07
51,6.15,-5.24,26.81,0.16,-0.10,1.08
52,6.26,-5.65,27.25,0.15,-0.10,1.08
53,6.79,-6.66,28.12,0.15,-0.11,1.09
54,7.19,-7.28,28.69,0.15,-0.10,1.09
55,7.54,-7.16,29.37,0.16,-0.10,1.09
56,8.46,-6.92,29.44,0.16,-0.10,1.09
57,8.87,-7.82,29.86,0.16,-0.10,1.08
58,8.78,-8.37,30.27,0.15,-0.10,1.08
59,8.90,-8.84,30.64,0.15,-0.09,1.08
60,9.48,-8.52,31.27,0.15,-0.09,1.07
61,9.36,-9.66,31.53,0.15,-0.09,1.07
62,9.18,-9.91,32.21,0.15,-0.09,1.07
63,8.93,-11.40,32.69,0.14,-0.08,1.06
64,8.96,-13.25,33.21,0.13,-0.09,1.07
65,10.05,-11.15,33.98,0.13,-0.09,1.06
66,9.83,-10.81,34.49,0.15,-0.09,1.05
67,8.76,-12.29,35.33,0.13,-0.09,1.06
68,9.02,-10.70,36.44,0.14,-0.08,1.02
69,8.78,-10.55,37.04,0.15,-0.07,1.03
70,7.56,-10.08,37.60,0.17,-0.07,1.03
71,7.37,-8.95,37.89,0.19,-0.06,1.03
72,7.25,-8.00,37.89,0.19,-0.06,1.05
73,5.74,-6.47,37.95,0.20,-0.05,1.05
74,6.72,-4.81,38.32,0.21,-0.05,1.05
75,7.89,-4.84,38.29,0.21,-0.05,1.05
76,8.20,-4.79,37.97,0.22,-0.05,1.06
77,8.24,-5.11,37.69,0.22,-0.06,1.06
78,8.34,-6.23,37.56,0.22,-0.05,1.06
79,9.11,-7.88,37.15,0.21,-0.06,1.06
80,9.34,-8.84,37.33,0.21,-0.07,1.07
81,9.54,-7.91,37.77,0.21,-0.06,1.06
82,10.15,-7.42,37.59,0.21,-0.07,1.06
83,9.98,-5.98,37.68,0.21,-0.06,1.06
84,10.37,-4.79,38.11,0.20,-0.07,1.06
85,10.63,-5.01,38.47,0.21,-0.07,1.05
86,10.92,-5.04,38.72,0.21,-0.06,1.05
87,11.10,-5.22,38.73,0.22,-0.06,1.05
88,11.24,-5.16,38.64,0.23,-0.05,1.04
89,10.98,-4.26,38.08,0.24,-0.05,1.05
90,10.96,-3.48,38.03,0.23,-0.05,1.05
91,10.82,-2.60,37.85,0.24,-0.05,1.04
92,11.11,-2.02,37.36,0.25,-0.05,1.05
93,11.60,-1.50,37.08,0.25,-0.05,1.06
94,12.24,-0.69,36.95,0.25,-0.05,1.06
95,12.29,-1.02,36.69,0.23,-0.05,1.07
96,12.82,0.73,36.87,0.23,-0.05,1.06
97,13.53,1.10,36.98,0.23,-0.05,1.07
98,13.71,1.59,37.07,0.23,-0.05,1.04
99,13.59,2.61,36.73,0.23,-0.05,1.06
100,13.77,1.95,36.38,0.23,-0.05,1.05
101,13.51,1.44,36.43,0.21,-0.04,1.05
102,13.36,1.22,36.76,0.21,-0.05,1.06
103,13.85,0.95,36.96,0.21,-0.04,1.06
104,14.27,1.33,37.47,0.21,-0.04,1.05
105,14.46,1.79,37.62,0.21,-0.05,1.05
