acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.26,0.34,0.9,-1.85,-8.26,-5.62,32.86
0.28,0.33,0.91,-3.22,-7.59,-4.2,32.91
0.28,0.33,0.9,-4.63,-7.04,-3.13,32.91
0.29,0.33,0.9,-5.18,-5.85,-2.47,32.91
0.3,0.34,0.9,-5.48,-3.91,-1.79,32.81
0.29,0.34,0.9,-6.78,-2.55,-2.0,32.91
0.29,0.34,0.89,-8.32,-0.95,-2.02,32.86
0.28,0.34,0.91,-10.43,-2.56,-2.58,32.95
0.26,0.33,0.91,-11.27,-5.07,-3.45,32.91
0.26,0.32,0.93,-11.85,-7.54,-3.62,32.81
0.27,0.31,0.92,-12.5,-8.72,-3.77,32.77
0.27,0.3,0.91,-11.95,-8.27,-3.92,32.86
0.26,0.3,0.92,-11.98,-6.41,-3.16,32.91
0.26,0.29,0.93,-11.89,-3.63,-1.16,33.0
0.27,0.3,0.92,-11.56,0.0,0.49,32.86
0.26,0.29,0.93,-11.47,-0.37,0.35,32.81
0.27,0.29,0.93,-10.67,-1.18,-0.67,32.91
0.28,0.29,0.93,-10.75,-1.71,-0.55,32.91
0.29,0.29,0.92,-12.27,-2.43,-0.7,32.91
0.31,0.3,0.89,-12.43,-2.34,-1.68,32.86
0.31,0.31,0.9,-12.03,-2.44,-1.89,32.81
0.32,0.29,0.9,-13.16,-2.29,-2.18,32.81
0.33,0.3,0.9,-13.89,-0.03,-2.58,32.86
0.33,0.29,0.89,-14.46,2.32,-3.5,32.77
0.3,0.3,0.89,-15.04,1.88,-4.6,32.77
0.3,0.29,0.9,-14.81,0.44,-6.05,32.86
0.3,0.28,0.91,-13.08,-0.55,-6.6,32.86
0.3,0.27,0.93,-11.31,-1.21,-6.87,32.95
0.3,0.26,0.93,-9.04,-0.24,-7.53,32.91
0.29,0.28,0.93,-7.1,0.72,-7.27,32.81
0.28,0.3,0.91,-6.14,1.33,-6.7,32.86
0.29,0.31,0.9,-7.01,1.6,-6.02,32.91
0.29,0.32,0.87,-8.84,1.95,-6.5,32.86
0.28,0.33,0.88,-10.15,1.13,-7.3,32.91
0.28,0.31,0.9,-11.47,-0.81,-8.08,32.91
0.27,0.3,0.91,-12.31,-1.22,-7.19,32.81
0.26,0.3,0.92,-11.45,-1.05,-7.05,32.95
0.27,0.29,0.93,-10.11,-0.52,-6.69,32.81
0.27,0.28,0.94,-7.19,0.34,-6.14,32.91
0.27,0.27,0.95,-3.83,1.54,-5.44,32.86
0.26,0.28,0.94,-1.36,2.03,-4.37,32.91
0.26,0.28,0.93,0.75,3.04,-3.28,32.86
0.27,0.3,0.93,1.97,4.2,-2.05,32.81
0.28,0.31,0.92,2.82,4.52,-1.95,32.81
0.27,0.32,0.89,2.4,6.06,-2.17,32.86
0.25,0.34,0.89,1.34,6.11,-2.38,32.86
0.25,0.34,0.88,-0.09,5.77,-1.77,32.95
0.24,0.33,0.88,-0.5,6.09,-0.66,32.86
0.24,0.34,0.89,-1.57,6.41,0.09,32.81
0.23,0.34,0.88,-3.05,5.65,0.84,32.91
0.23,0.33,0.89,-3.73,4.14,1.91,32.95
0.23,0.32,0.89,-4.99,2.76,2.34,32.86
0.22,0.32,0.9,-5.18,1.8,3.79,32.91
