,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,0.72,-1.04,1.82,0.03,-0.21,1.04
1,0.87,-0.53,1.28,0.03,-0.21,1.05
2,0.96,-0.11,0.93,0.03,-0.21,1.04
3,0.93,-0.87,0.72,0.01,-0.21,1.04
4,1.13,-0.96,0.32,0.02,-0.21,1.04
5,0.96,-1.85,-0.05,0.01,-0.21,1.04
6,0.98,-2.52,0.03,0.00,-0.21,1.04
7,0.99,-3.15,-0.23,-0.00,-0.21,1.04
8,0.61,-3.37,0.06,-0.00,-0.21,1.04
9,0.61,-2.75,0.15,-0.01,-0.21,1.04
10,0.43,-1.92,0.43,-0.00,-0.21,1.05
11,0.38,-1.05,1.16,-0.01,-0.22,1.05
12,0.63,0.09,1.66,-0.01,-0.22,1.05
13,0.53,0.23,1.80,-0.01,-0.22,1.05
14,0.58,-0.03,2.03,-0.00,-0.22,1.05
15,0.81,-0.06,2.20,-0.01,-0.22,1.04
16,1.25,-0.06,2.17,-0.00,-0.23,1.05
17,1.63,-0.24,1.86,0.00,-0.22,1.05
18,2.20,-0.24,1.77,0.01,-0.23,1.03
19,2.60,-0.82,1.50,-0.00,-0.23,1.04
20,2.29,-1.18,1.25,-0.01,-0.22,1.02
21,2.44,-1.37,1.76,-0.01,-0.21,1.01
22,2.09,-1.79,2.38,-0.01,-0.22,1.02
23,1.57,-2.09,2.84,-0.01,-0.21,1.02
24,1.10,-2.15,2.99,-0.00,-0.21,1.02
25,0.37,-1.79,2.95,0.01,-0.21,1.02
26,0.11,-1.89,3.28,0.00,-0.21,1.02
27,-0.20,-1.59,3.42,0.00,-0.21,1.02
28,-0.03,-1.60,3.82,0.01,-0.22,1.02
29,0.12,-1.77,3.50,0.01,-0.22,1.03
30,0.09,-2.18,3.40,0.02,-0.21,1.03
31,-0.02,-2.15,3.47,0.02,-0.22,1.04
32,-0.23,-2.46,3.42,0.02,-0.21,1.04
33,-0.21,-2.55,3.53,0.02,-0.22,1.05
34,0.20,-2.17,3.66,0.03,-0.22,1.06
35,0.60,-2.27,3.33,0.03,-0.23,1.06
36,1.60,-1.63,3.04,0.04,-0.23,1.08
37,2.32,-0.87,2.67,0.04,-0.23,1.06
38,2.70,-0.38,2.66,0.03,-0.23,1.06
39,2.85,-0.03,2.76,0.03,-0.23,1.06
40,2.95,0.15,3.07,0.02,-0.23,1.07
41,3.33,-0.29,3.48,0.01,-0.22,1.07
42,3.54,-0.61,3.69,0.01,-0.22,1.06
43,3.59,-0.82,3.80,0.02,-0.23,1.07
44,3.56,-0.35,4.32,0.02,-0.23,1.08
45,3.82,0.27,4.34,0.03,-0.23,1.08
46,3.98,1.37,5.15,0.03,-0.23,1.10
47,4.37,3.02,5.83,0.03,-0.24,1.11
48,5.13,4.95,6.46,0.03,-0.26,1.12
49,6.56,7.10,7.22,0.04,-0.25,1.14
50,9.37,9.57,7.94,0.03,-0.26,1.15
51,11.65,11.27,8.20,0.02,-0.26,1.17
52,14.24,12.06,8.76,0.02,-0.27,1.17
53,16.43,12.34,9.10,0.01,-0.26,1.16
54,18.23,12.12,9.47,0.00,-0.25,1.16
55,19.30,11.31,9.66,0.00,-0.24,1.15
56,19.66,10.69,9.71,0.00,-0.24,1.15
57,19.66,10.55,9.42,0.01,-0.23,1.14
58,20.37,10.55,9.22,0.01,-0.23,1.15
59,20.99,10.17,8.90,0.00,-0.24,1.15
