,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0,8.27,3.94,-0.58,0.09,-0.07,1.03
1,7.60,3.40,0.03,0.09,-0.07,1.04
2,7.24,3.10,0.78,0.08,-0.07,1.05
3,6.84,2.05,1.25,0.08,-0.07,1.05
4,6.24,1.79,1.56,0.08,-0.07,1.05
5,5.42,0.92,1.33,0.08,-0.07,1.04
6,4.53,0.84,1.71,0.09,-0.07,1.05
7,3.53,0.96,2.49,0.09,-0.07,1.04
8,3.16,1.92,2.78,0.10,-0.08,1.05
9,3.19,2.93,2.75,0.10,-0.08,1.06
10,3.40,4.21,2.31,0.11,-0.09,1.06
11,3.73,4.79,2.09,0.10,-0.09,1.06
12,4.05,4.96,2.00,0.10,-0.09,1.07
13,4.44,5.45,1.56,0.10,-0.10,1.07
14,4.98,5.53,1.45,0.10,-0.10,1.06
15,5.47,5.74,1.39,0.08,-0.09,1.07
16,5.91,5.68,1.24,0.07,-0.09,1.06
17,6.18,5.82,1.22,0.07,-0.10,1.06
18,6.09,4.92,1.07,0.06,-0.09,1.05
19,6.26,4.95,1.50,0.06,-0.09,1.05
20,5.71,4.56,1.65,0.06,-0.09,1.04
21,5.01,4.81,2.31,0.06,-0.08,1.03
22,3.92,5.19,3.15,0.07,-0.08,1.02
23,3.88,5.91,3.15,0.07,-0.09,1.03
24,3.36,5.73,3.50,0.06,-0.08,1.03
25,3.18,6.66,3.74,0.06,-0.09,1.04
26,3.47,6.95,4.50,0.06,-0.08,1.04
27,3.01,6.70,4.82,0.06,-0.09,1.04
28,2.56,5.25,5.18,0.06,-0.08,1.04
29,2.29,4.08,5.01,0.06,-0.09,1.07
30,2.46,2.47,5.33,0.05,-0.09,1.08
31,2.70,0.50,5.91,0.05,-0.11,1.11
32,3.51,-0.02,6.05,0.07,-0.12,1.12
33,4.38,0.18,6.43,0.09,-0.11,1.14
34,6.37,0.21,6.09,0.10,-0.12,1.16
35,8.03,1.92,5.86,0.11,-0.12,1.17
36,9.53,3.76,5.63,0.11,-0.13,1.19
37,11.27,6.32,5.21,0.10,-0.13,1.19
38,12.43,7.54,5.53,0.09,-0.13,1.20
39,13.50,8.96,6.35,0.08,-0.13,1.19
40,14.49,9.88,7.28,0.08,-0.13,1.20
41,15.54,11.01,7.48,0.07,-0.14,1.21
42,17.21,11.86,8.08,0.08,-0.13,1.22
43,18.73,11.98,8.60,0.08,-0.13,1.22
44,21.50,12.52,8.70,0.08,-0.15,1.24
45,23.18,13.27,8.44,0.09,-0.14,1.24
46,25.59,15.74,8.20,0.09,-0.14,1.24
47,28.20,17.51,8.46,0.08,-0.15,1.23
48,30.56,18.44,9.05,0.07,-0.13,1.22
49,32.56,20.14,9.22,0.07,-0.12,1.20
50,34.05,20.49,8.90,0.06,-0.10,1.18
51,35.42,20.15,8.64,0.04,-0.10,1.16
52,36.21,18.44,8.87,0.01,-0.08,1.14
53,36.40,17.31,9.15,0.01,-0.06,1.12
54,36.35,16.11,9.18,-0.00,-0.05,1.11
55,35.77,14.60,9.57,-0.00,-0.04,1.09
56,35.13,12.44,10.06,-0.00,-0.04,1.08
57,34.38,10.96,11.25,-0.01,-0.03,1.09
58,33.59,9.24,11.98,-0.00,-0.03,1.09
59,33.44,8.17,12.44,0.02,-0.02,1.09
60,33.28,7.54,12.50,0.03,-0.03,1.09
61,33.57,7.36,12.52,0.04,-0.03,1.09
62,33.74,7.73,12.76,0.05,-0.02,1.09
63,33.92,9.01,12.61,0.07,-0.02,1.08
64,33.76,10.61,12.09,0.07,-0.00,1.08
65,33.91,11.73,11.63,0.06,-0.00,1.07
66,33.88,11.85,11.08,0.05,-0.00,1.06
67,33.80,11.37,10.98,0.03,0.01,1.06
68,33.69,10.34,10.92,0.02,0.00,1.07
69,33.60,9.77,11.13,0.01,0.02,1.06
70,33.36,8.49,11.11,0.01,0.02,1.05
71,33.21,7.56,11.10,0.01,0.02,1.05
72,33.37,6.67,11.65,0.01,0.03,1.05
73,33.28,6.08,12.00,0.01,0.03,1.05
74,33.21,5.57,12.44,0.01,0.03,1.05
75,32.98,6.63,12.84,0.02,0.03,1.06
76,32.84,8.02,13.30,0.03,0.04,1.07
77,32.96,9.57,13.39,0.04,0.04,1.07
78,33.37,10.81,13.13,0.05,0.04,1.08
79,33.57,11.40,12.75,0.04,0.04,1.09
80,34.12,11.92,12.11,0.04,0.05,1.09
81,34.49,11.71,11.01,0.03,0.05,1.08
82,35.11,11.01,10.46,0.02,0.05,1.08
83,36.08,10.06,10.21,0.00,0.05,1.08
84,36.70,9.10,10.06,0.00,0.05,1.08
85,37.48,8.55,10.40,-0.00,0.06,1.08
86,37.83,8.37,10.46,-0.01,0.06,1.08
87,38.18,7.85,10.85,-0.00,0.07,1.08
88,38.60,8.27,11.42,-0.01,0.08,1.08
89,38.55,8.31,12.14,-0.00,0.09,1.07
90,38.53,8.17,12.37,-0.00,0.09,1.08
91,38.55,8.58,12.81,-0.00,0.09,1.08
92,38.24,9.31,13.19,0.00,0.10,1.08
93,38.09,10.29,13.51,0.01,0.10,1.08
94,38.20,10.67,13.24,0.02,0.10,1.08
95,38.52,11.18,12.56,0.01,0.10,1.08
96,39.15,12.08,12.26,0.01,0.10,1.10
97,40.29,12.49,12.14,0.01,0.11,1.10
98,41.13,12.09,12.38,-0.01,0.11,1.09
99,42.29,11.57,12.27,-0.01,0.12,1.09
100,42.03,10.40,12.31,-0.01,0.13,1.09
101,42.40,9.83,12.46,-0.01,0.13,1.08
102,42.66,9.59,12.79,-0.01,0.14,1.09
103,42.93,9.50,13.01,-0.01,0.14,1.08
104,43.07,9.63,13.18,-0.00,0.15,1.08
105,43.40,9.83,13.08,-0.00,0.15,1.08
106,43.85,10.12,13.05,-0.00,0.16,1.08
107,44.06,10.76,13.13,0.00,0.17,1.08
108,44.52,11.74,13.25,0.00,0.17,1.07
109,45.01,12.02,13.21,-0.00,0.17,1.08
110,45.50,12.32,12.96,-0.00,0.18,1.06
111,45.94,12.63,13.07,-0.01,0.18,1.06
112,46.35,12.32,12.93,-0.01,0.19,1.06
113,46.47,11.11,12.66,-0.02,0.20,1.06
114,46.95,9.56,12.27,-0.03,0.21,1.06
115,47.07,8.46,12.90,-0.03,0.22,1.04
116,47.21,7.56,13.16,-0.03,0.22,1.03
117,47.10,7.21,13.65,-0.02,0.23,1.03
118,46.90,7.56,13.40,-0.02,0.24,1.03
119,46.52,7.42,14.05,-0.01,0.24,1.02
120,45.89,8.38,14.49,-0.01,0.25,1.01
121,45.33,8.66,14.37,-0.00,0.25,1.01
122,44.43,8.55,14.24,-0.01,0.26,1.00
123,44.24,8.47,13.91,-0.00,0.26,1.01
124,43.97,7.88,13.80,-0.00,0.26,1.01
125,43.59,6.95,13.56,-0.01,0.26,1.02
126,43.33,6.02,13.53,-0.01,0.27,0.99
127,43.27,6.17,13.05,-0.01,0.26,1.01
128,43.04,6.02,13.13,-0.01,0.27,1.01
129,42.92,6.11,12.81,-0.02,0.28,1.01
130,42.69,6.27,12.98,-0.02,0.28,1.00
131,42.95,6.56,13.47,-0.02,0.28,1.01
132,43.05,7.30,13.62,-0.01,0.29,1.00
133,43.36,8.35,13.68,-0.01,0.29,1.00
134,43.33,9.42,13.95,-0.01,0.30,0.99
135,43.45,9.98,13.83,-0.01,0.30,1.00
136,43.47,9.74,13.98,-0.01,0.31,0.98
137,42.63,9.63,13.89,-0.01,0.32,0.98
138,42.53,8.81,13.85,-0.00,0.33,0.98
139,42.40,8.49,13.08,0.00,0.33,0.98
140,41.62,7.63,12.72,-0.01,0.33,0.97
141,41.25,6.85,12.12,-0.00,0.33,0.97
142,41.66,6.44,12.05,-0.00,0.33,1.00
143,42.40,5.95,11.33,-0.01,0.33,0.99
144,43.13,4.73,10.85,-0.01,0.34,0.98
145,43.68,4.43,10.87,-0.01,0.34,0.98
146,43.85,5.65,10.99,-0.01,0.35,0.97
147,44.05,7.34,11.40,-0.00,0.35,0.97
148,44.46,8.40,12.14,-0.01,0.36,0.96
149,44.35,9.48,12.84,-0.02,0.36,0.96
150,43.80,10.11,13.19,-0.02,0.37,0.96
151,43.10,10.23,13.47,-0.02,0.37,0.96
152,42.44,10.58,13.57,-0.01,0.38,0.96
153,42.41,10.31,13.34,-0.02,0.38,0.97
154,42.60,9.11,12.99,-0.02,0.38,0.96
155,42.67,8.09,12.49,-0.03,0.38,0.96
156,43.13,7.27,11.98,-0.02,0.39,0.96
157,43.27,6.47,11.45,-0.02,0.40,0.96
158,43.37,6.64,11.59,-0.02,0.40,0.95
159,43.34,6.85,11.83,-0.03,0.41,0.94
160,42.93,7.97,13.07,-0.03,0.42,0.94
161,42.73,9.01,13.65,-0.01,0.42,0.95
162,42.18,9.51,14.24,-0.01,0.43,0.94
163,41.60,10.00,14.58,-0.01,0.43,0.94
164,41.08,9.97,14.34,-0.01,0.43,0.95
165,40.93,9.73,13.82,-0.02,0.43,0.94
166,40.96,8.78,13.33,-0.02,0.44,0.94
167,41.25,7.73,13.21,-0.03,0.44,0.94
168,41.53,7.50,13.28,-0.03,0.45,0.95
169,41.74,7.36,13.68,-0.04,0.44,0.95
170,42.69,7.30,14.26,-0.04,0.45,0.95
171,42.89,7.51,14.75,-0.04,0.45,0.94
172,43.36,7.48,15.22,-0.03,0.46,0.94
173,43.83,7.54,15.45,-0.03,0.46,0.94
174,44.18,7.08,15.73,-0.02,0.47,0.92
175,44.37,6.93,15.60,-0.03,0.48,0.92
176,44.47,6.14,15.07,-0.02,0.49,0.92
177,44.99,5.19,15.07,-0.02,0.50,0.92
178,44.99,4.49,14.96,-0.01,0.50,0.91
179,45.10,4.09,14.43,0.00,0.50,0.92
180,44.98,4.23,13.98,0.01,0.51,0.90
181,44.79,5.48,13.54,0.02,0.51,0.90
182,44.89,6.96,12.99,0.02,0.52,0.90
183,45.04,7.27,12.66,0.01,0.53,0.90
184,44.89,7.34,12.67,0.00,0.53,0.88
185,44.44,6.96,12.81,-0.01,0.54,0.89
186,44.40,6.92,12.70,-0.01,0.54,0.88
187,44.11,6.84,12.79,-0.00,0.54,0.89
188,44.24,7.27,12.84,-0.00,0.55,0.88
189,44.29,7.05,12.70,0.00,0.55,0.88
190,44.31,7.42,12.32,0.00,0.55,0.87
191,44.21,8.47,12.18,0.01,0.55,0.87
192,44.00,9.42,12.02,0.00,0.55,0.87
193,43.89,10.17,12.00,-0.00,0.57,0.87
194,44.02,10.67,12.05,-0.02,0.56,0.87
195,44.14,10.31,12.15,-0.01,0.57,0.86
196,44.47,9.77,12.17,-0.02,0.57,0.86
197,44.58,8.75,12.27,-0.03,0.57,0.86
198,44.72,8.11,12.64,-0.02,0.58,0.85
199,44.52,7.10,12.85,-0.02,0.58,0.86
200,45.01,6.35,12.70,-0.01,0.58,0.85
201,45.48,6.50,12.58,-0.01,0.59,0.85
202,45.53,6.64,12.15,0.00,0.60,0.83
203,45.15,7.02,11.89,0.01,0.60,0.83
204,44.81,7.13,11.24,0.01,0.60,0.83
205,44.93,7.62,11.01,0.01,0.60,0.83
206,45.28,8.43,11.16,0.00,0.61,0.82
207,45.60,8.72,11.11,0.00,0.61,0.83
208,46.08,9.42,11.11,0.00,0.62,0.83
209,45.89,9.54,10.11,-0.01,0.62,0.82
210,45.88,8.82,9.82,-0.02,0.62,0.81
211,45.71,7.98,9.98,-0.03,0.63,0.81
212,45.34,6.81,10.50,-0.04,0.63,0.81
213,45.36,5.83,11.24,-0.03,0.63,0.81
214,45.42,5.77,11.42,-0.02,0.65,0.81
215,46.05,6.15,11.77,-0.01,0.64,0.80
216,46.44,6.84,11.86,-0.00,0.65,0.81
217,46.89,7.60,12.14,-0.00,0.65,0.80
218,47.04,7.95,11.63,0.01,0.66,0.80
219,47.27,8.03,11.16,0.00,0.66,0.79
220,47.53,8.11,10.84,0.01,0.67,0.77
221,47.16,8.00,10.60,0.00,0.67,0.76
222,46.69,7.63,10.12,0.01,0.68,0.76
223,46.52,7.19,9.69,0.00,0.69,0.75
224,46.17,7.01,9.02,0.00,0.69,0.75
225,46.24,6.40,8.76,0.00,0.70,0.75
226,45.85,5.74,8.79,-0.00,0.69,0.74
227,45.76,5.27,8.70,0.01,0.69,0.73
228,45.88,5.48,8.78,0.00,0.70,0.74
229,45.65,6.12,8.79,0.01,0.70,0.74
230,45.82,7.11,9.13,0.01,0.71,0.73
231,45.82,8.20,8.95,0.02,0.71,0.73
232,45.56,9.13,8.79,0.02,0.71,0.71
233,45.19,9.50,8.49,0.01,0.72,0.71
234,44.44,10.14,7.94,0.02,0.73,0.71
235,43.95,10.18,7.16,0.02,0.73,0.71
236,43.77,9.71,6.47,0.00,0.73,0.71
237,43.77,9.27,6.24,0.00,0.73,0.70
238,43.95,9.19,5.88,-0.00,0.73,0.71
239,44.52,9.10,5.85,-0.00,0.73,0.70
240,44.82,8.72,5.95,-0.00,0.73,0.70
241,45.39,7.65,5.80,-0.02,0.74,0.70
242,46.02,6.58,6.63,-0.03,0.73,0.70
243,46.69,5.15,7.51,-0.04,0.74,0.68
244,46.90,4.21,8.12,-0.03,0.74,0.68
245,46.82,3.76,8.69,-0.02,0.74,0.67
