acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.08	-0.06	0.9	-5.56	-1.82	-0.79
0.15	-0.03	0.93	-7.73	5.56	1.54
0.07	-0.06	0.93	-5.6	5.02	0.11
0.07	-0.04	0.92	-7.33	-0.2	-0.12
0.08	-0.07	0.91	-5.39	-2.2	-0.79
0.11	-0.04	0.92	-4.99	0.09	-0.2
0.1	-0.04	0.93	-6.66	1.15	0.26
0.09	-0.05	0.92	-6.44	0.78	0.37
0.08	-0.06	0.92	-5.24	0.99	0.6
0.09	-0.05	0.92	-4.46	-0.02	-0.12
0.09	-0.04	0.9	-4.58	-0.79	-1.51
0.11	-0.05	0.89	-4.92	1.08	-0.96
0.09	-0.04	0.9	-5.91	2.49	0.24
0.08	-0.05	0.9	-6.24	0.34	0
0.09	-0.05	0.89	-6.43	-0.64	-0.11
0.11	-0.04	0.9	-6.34	0.87	-0.27
0.1	-0.04	0.9	-7.01	1.53	-0.15
0.09	-0.04	0.92	-7.54	0.5	0.9
0.1	-0.05	0.93	-7.07	1.16	0.66
0.08	-0.05	0.94	-6.64	1.86	0.43
0.09	-0.04	0.93	-5.01	0.52	-0.49
0.09	-0.05	0.91	-4.43	0.72	0.06
0.08	-0.04	0.91	-4.79	0.63	0.37
0.08	-0.04	0.92	-6.73	0.21	0.24
0.09	-0.04	0.91	-7.63	0.41	-0.24
0.09	-0.05	0.92	-7.18	0.55	-0.47
0.09	-0.05	0.93	-6.2	-0.92	-1.42
0.1	-0.05	0.92	-5.68	-0.76	-2.11
0.09	-0.04	0.91	-5.1	-1.01	-2.18
0.1	-0.04	0.9	-5.22	-0.31	-0.89
0.1	-0.04	0.92	-5.89	1.79	-0.29
0.09	-0.04	0.91	-6.29	-0.08	-1.19
0.11	-0.04	0.92	-6.9	0	-0.34
0.09	-0.05	0.91	-6.52	1.65	0.24
0.08	-0.04	0.93	-7.4	-0.05	-0.2
0.09	-0.04	0.92	-7.19	-0.89	-0.98
0.09	-0.04	0.92	-6.76	1.21	-0.46
0.07	-0.04	0.92	-6.72	-0.37	-0.79
0.09	-0.04	0.93	-6.76	-0.6	-0.52
0.09	-0.04	0.92	-6.82	-0.35	-0.7
0.1	-0.05	0.91	-6.37	0.5	-0.34
0.09	-0.04	0.91	-6.44	1.65	0.64
0.09	-0.05	0.92	-6.75	0.26	0.12
0.09	-0.04	0.9	-7.25	0.4	-0.05
0.08	-0.05	0.91	-7.05	0.12	-0.75
0.08	-0.04	0.9	-8.08	-1.33	-1.6
0.09	-0.04	0.89	-9.05	-1.73	-1.65
0.1	-0.05	0.91	-9.65	-1.18	-0.52
0.09	-0.06	0.91	-9.13	0.29	0.52
0.09	-0.05	0.94	-8.5	-0.37	0.95
0.1	-0.06	0.93	-6.27	-1.68	0.61
0.11	-0.05	0.9	-5.07	1.92	0.95
0.09	-0.05	0.9	-5.05	0.46	0.23
0.09	-0.04	0.91	-6.69	0.26	0.98
0.11	-0.05	0.92	-7.74	0.87	0.81
0.11	-0.05	0.92	-7.66	1.88	0.81
0.1	-0.06	0.92	-6.47	1.77	-0.11
0.1	-0.05	0.93	-5.71	0.92	-0.95
0.1	-0.05	0.92	-5.62	0.7	-0.96
0.1	-0.05	0.91	-6.29	1.4	-0.76
0.09	-0.05	0.91	-6.58	0.84	-0.43
0.11	-0.05	0.91	-6.66	1.34	0
0.1	-0.05	0.92	-6.52	1.86	-0.47
0.11	-0.04	0.94	-6.84	1.05	-0.81
0.11	-0.05	0.93	-6.02	2.95	-0.08
0.08	-0.05	0.93	-5.18	3.73	0.18
0.07	-0.06	0.92	-5.05	0.67	-0.7
0.11	-0.04	0.92	-5.01	1.11	0.31
0.1	-0.05	0.93	-4.2	3.8	0.95
0.08	-0.05	0.93	-4.21	2.15	-0.18
0.08	-0.05	0.9	-4.55	-0.06	-0.7
0.08	-0.05	0.88	-4.17	-0.47	-0.44
0.09	-0.04	0.89	-5.1	-0.5	-0.17
0.09	-0.04	0.91	-7.04	-0.64	0.09
0.1	-0.05	0.91	-7.95	-0.2	0.24
0.1	-0.05	0.92	-7.37	-0.12	0.2
0.11	-0.05	0.93	-6.11	0.21	0.11
0.1	-0.04	0.92	-5.39	1.33	0.09
0.09	-0.05	0.9	-4.76	0.29	-0.46
0.1	-0.05	0.89	-4.67	0.79	0.73
