acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
0.15	-0.08	0.91	-9.71	-0.64	-0.61
0.16	-0.07	0.92	-9.36	0.23	-0.56
0.16	-0.07	0.93	-8.56	1.92	-0.67
0.16	-0.08	0.92	-7.79	2.79	-0.75
0.16	-0.08	0.93	-7.18	4.38	-0.67
0.16	-0.06	0.91	-6.92	4.67	-0.52
0.16	-0.07	0.92	-7.08	4.03	-0.6
0.16	-0.07	0.9	-7.62	3.28	-0.85
0.15	-0.08	0.91	-7.66	2.63	-0.96
0.15	-0.08	0.91	-7.44	2.46	-0.79
0.15	-0.07	0.9	-7.04	2.38	-0.87
0.14	-0.08	0.9	-6.73	3.45	-0.72
0.14	-0.07	0.9	-6.4	4.52	-0.66
0.15	-0.08	0.9	-6.85	3.57	-0.21
0.13	-0.08	0.91	-6.64	1.07	0.63
0.14	-0.08	0.9	-6.49	-0.18	1.1
0.15	-0.08	0.91	-5.36	-0.05	1.02
0.16	-0.08	0.91	-5.74	0.06	1.19
0.16	-0.08	0.91	-4.73	1.71	0.53
0.16	-0.08	0.91	-4.06	3.37	0.32
0.15	-0.08	0.9	-4.29	2.09	0.37
0.15	-0.08	0.89	-4.21	1.62	0.58
0.15	-0.08	0.9	-4.06	1.31	0.73
0.14	-0.07	0.9	-4.5	-0.41	0.64
0.15	-0.08	0.9	-4.67	-1.01	0.67
0.15	-0.08	0.91	-3.95	0.12	0.49
0.14	-0.08	0.91	-3.92	0.72	0.55
0.14	-0.08	0.91	-3.85	1.24	0.81
0.13	-0.07	0.92	-2.89	1.27	1.15
0.14	-0.07	0.91	-3.4	0.03	1.24
0.15	-0.07	0.9	-3.45	-0.02	0.98
0.14	-0.07	0.91	-4.27	-0.34	0.98
0.14	-0.07	0.9	-4.67	-1.4	1.71
0.14	-0.07	0.94	-4.99	-2.98	1.97
0.15	-0.07	0.93	-4.75	-4.08	2.4
0.16	-0.07	0.93	-4.98	-3.47	2.08
0.17	-0.07	0.93	-4.11	-0.81	1.11
0.17	-0.07	0.91	-3.97	1.56	0.26
0.16	-0.07	0.91	-4.38	1.48	-0.15
0.14	-0.07	0.9	-5.08	0.81	0.12
0.13	-0.07	0.9	-5.82	-0.15	1.13
0.14	-0.07	0.91	-5.86	-2.03	1.56
0.15	-0.06	0.91	-6.03	-2.38	1.79
0.16	-0.07	0.9	-6.05	-1.33	1.25
0.16	-0.07	0.9	-5.89	0.47	1.22
0.14	-0.07	0.91	-5.4	0.92	1.31
0.15	-0.07	0.91	-5.25	-0.84	1.77
0.16	-0.06	0.9	-6.02	-2.18	2.14
0.16	-0.06	0.89	-5.74	-0.95	1.85
0.17	-0.07	0.9	-6.15	0.46	1.07
0.17	-0.07	0.9	-6.24	0.82	0.63
0.16	-0.07	0.89	-6.23	1.48	0.6
0.15	-0.07	0.89	-5.66	1.94	0.92
0.16	-0.07	0.9	-5.89	1.33	1.05
0.16	-0.07	0.9	-5.27	1.27	0.99
0.16	-0.08	0.91	-5.19	1.21	1.28
0.16	-0.07	0.9	-6.08	1.47	1.34
0.17	-0.07	0.9	-5.53	1.85	1.01
0.17	-0.06	0.9	-4.89	1.22	0.44
0.16	-0.07	0.9	-5.05	0.87	-0.11
0.16	-0.07	0.89	-5.34	0.95	-0.31
0.16	-0.08	0.89	-5.31	1.54	-0.46
0.15	-0.07	0.91	-4.7	2.14	-0.5
0.15	-0.08	0.91	-3.94	1.79	-0.24
0.16	-0.07	0.91	-3.91	1.24	0.4
0.16	-0.07	0.9	-3.6	2.79	-0.24
0.17	-0.07	0.89	-3.28	2.95	-0.64
0.15	-0.07	0.89	-4.17	2.63	-0.55
0.14	-0.07	0.89	-4.23	2.53	-0.06
0.14	-0.07	0.89	-5.62	1.05	0.43
0.15	-0.06	0.88	-6.87	0.03	0.24
0.15	-0.07	0.88	-7.88	-0.79	0.55
0.16	-0.08	0.9	-7.5	-0.82	0.14
0.16	-0.08	0.94	-6.66	-1.07	-0.78
0.15	-0.07	0.94	-6.14	-1.63	-0.98
0.16	-0.07	0.93	-4.75	-0.79	-0.93
0.16	-0.07	0.92	-3.73	1.16	-1.22
0.18	-0.08	0.89	-4.4	1.39	-1.74
0.18	-0.07	0.88	-5.24	0	-1.28
0.19	-0.08	0.89	-6.75	-2.6	-0.98
0.24	-0.09	0.9	-8.18	-5.57	-0.43
0.34	-0.11	0.88	-8.27	-8.6	-4.11
0.45	-0.12	0.86	-8.64	-12.66	-15.95
0.61	-0.13	0.83	-13.34	-25.88	-34.06
0.68	-0.15	0.9	-18.08	-48.95	-56.84
0.78	-0.19	0.87	-22.76	-70.23	-80.23
0.82	-0.25	0.8	-26.15	-77.34	-99.21
0.91	-0.3	0.77	-23.05	-58.06	-112.81
1.1	-0.31	0.69	-19.44	-21.98	-121.39
1.4	-0.33	0.59	-20.15	8.64	-140.05
1.71	-0.38	0.5	-24.37	30.02	-176.87
1.95	-0.41	0.38	-36.76	27.62	-227.57
2.17	-0.47	0.24	-62.11	14.35	-301.82
2.19	-0.63	0.18	-95.18	31.1	-385.13
1.94	-0.81	0.12	-134.64	42.21	-448.17
1.61	-1.09	0.25	-153.24	100.03	-488.56
1.24	-1.17	0.28	-160.93	178.64	-500.27
0.89	-1.24	0.3	-162.82	230.55	-491.05
0.77	-1.23	0.32	-162.61	258.49	-475.57
0.49	-1.27	0.52	-153.73	234.92	-461.16
0.09	-1.31	0.68	-135.33	135.34	-441.08
-0.05	-1.24	0.79	-114.17	24.81	-418.03
0.03	-1.32	0.88	-83.01	-12.06	-404.14
0.22	-1.27	0.9	-52.56	39.25	-392.4
0.17	-1.24	0.74	-41.71	88.29	-386.31
0.06	-1.17	0.69	-36.06	129.19	-381.66
-0.01	-1.09	0.71	-28.81	148.84	-374.72
-0.07	-1.01	0.84	-38.92	135.77	-369.37
-0.24	-1.02	0.93	-44.98	100.73	-358.75
-0.36	-1.03	0.97	-46.67	68.08	-343.94
-0.35	-1.09	0.99	-36.7	82.43	-328.34
-0.35	-1.1	0.99	-29.36	132.52	-313.65
-0.5	-1.07	0.94	-25.18	178.31	-293.74
-0.64	-1	0.96	-23.28	198.35	-272.89
-0.77	-0.85	1.01	-15.71	198.44	-247.53
-0.91	-0.74	1.12	-4.32	173.63	-215.86
-0.93	-0.75	1.15	8.96	133.94	-184.64
-0.95	-0.76	1.13	23.59	76.64	-154.41
-0.86	-0.75	1.06	43.95	10.15	-128.75
-0.75	-0.76	0.99	70.9	-53.07	-112.41
-0.61	-0.71	0.99	99.71	-95.22	-107.95
-0.44	-0.58	0.97	126.2	-98.76	-109.11
-0.42	-0.45	0.92	133.86	-91.31	-102.85
-0.33	-0.31	0.88	127.97	-73.13	-99.33
-0.31	-0.31	0.99	119.63	-72.93	-89.22
-0.26	-0.33	1	110.67	-77.24	-83.1
-0.23	-0.33	0.95	105.36	-82.61	-78.52
-0.26	-0.3	0.94	100.27	-92.79	-70.66
-0.26	-0.2	0.9	89.57	-96.99	-61.04
-0.17	-0.11	0.91	76.38	-94.61	-50.96
-0.09	-0.08	0.91	73.69	-99.73	-45.36
0.06	-0.1	0.91	66.09	-96.2	-45.34
0.13	-0.12	0.89	56.98	-81.31	-51.77
0.11	-0.14	0.86	49.74	-73.95	-56.85
0.06	-0.13	0.83	40.08	-68.55	-59.88
0.05	-0.06	0.83	24.87	-53.48	-57.34
0.01	0	0.83	19.88	-55.05	-48.49
0.08	0.08	0.84	8.73	-45.76	-40.49
0.13	0.05	0.92	2.53	-36.23	-37.97
0.23	0.03	0.94	0.87	-35.48	-38.24
0.25	-0.05	1	6.55	-32.35	-43.07
0.19	-0.05	0.95	5.27	-36.95	-45.69
0.24	0.02	0.87	-3.95	-21.76	-50.92
0.2	0.03	0.83	-17.8	5.27	-51.59
0.13	0.03	0.78	-18.34	2.06	-48.67
0.16	0.04	0.71	-23.25	-3.94	-47.16
0.23	0.04	0.72	-36.02	10.84	-49.28
0.17	0.03	0.77	-45.65	12.5	-50.58
0.12	0	0.75	-54.95	0.76	-48.34
0.11	-0.01	0.75	-67.13	1.1	-46.18
0.11	0.01	0.81	-74.37	8.66	-42.11
0.09	-0.01	0.87	-79.21	16.12	-37.25
0.07	0.02	0.89	-87.15	23.94	-32
0.05	-0.02	0.91	-97.05	27.91	-25.51
0.04	-0.06	0.92	-107.01	29.53	-19.34
0.03	-0.09	0.88	-114.99	29.65	-14.79
0	-0.07	0.88	-126.11	29.31	-7.28
-0.05	-0.05	0.86	-148.5	27.47	0.29
-0.04	-0.09	0.83	-159.59	14.49	12.05
0.04	-0.13	0.82	-163.82	14.23	26.32
0.1	-0.16	0.85	-157.5	28.79	30.89
0.09	-0.2	0.92	-141.3	46.66	34.14
0.08	-0.2	0.91	-139.97	44.67	34.46
0.06	-0.27	0.88	-124.56	36.75	33.05
0.03	-0.31	0.88	-104.18	30.98	31.59
0	-0.29	0.85	-90.87	26.66	30.87
-0.04	-0.28	0.83	-75.16	24.14	34.02
-0.05	-0.27	0.82	-65.15	16.92	37.34
-0.03	-0.27	0.81	-60.46	11.21	41.21
0	-0.29	0.83	-50.75	4.55	43.59
0.07	-0.31	0.86	-43.02	-1.83	40.95
0.16	-0.34	0.89	-33.01	-0.66	33.71
0.19	-0.34	0.94	-23.36	4.14	24.78
0.17	-0.32	0.92	-12.5	11.91	17.82
0.11	-0.28	0.92	-7.57	15.82	14.81
0.08	-0.26	0.89	-4.61	18.41	15.31
0.07	-0.28	0.88	1.89	20.02	15.51
0.06	-0.3	0.88	11.33	22.4	15.59
0.05	-0.32	0.88	22.56	23.92	13.76
0.03	-0.29	0.89	29.62	22.96	13.73
0.02	-0.27	0.89	34.58	19.28	13.95
0.03	-0.26	0.93	39.92	14.4	14.03
0.03	-0.28	0.92	46.58	9.36	13.89
0.06	-0.26	0.97	51.85	5.8	13.28
0.06	-0.26	0.96	61.94	0.44	10.4
0.04	-0.25	0.98	67.68	-11.94	7.16
0.04	-0.22	0.94	70.56	-20.67	4.52
0.05	-0.16	0.94	67.27	-21.83	5.68
0.07	-0.18	0.94	66.75	-24.41	6.14
0.11	-0.14	0.96	59.62	-25.82	6.41
