acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
-0.06	-0.26	0.93	-26.6	6.5	11.42
-0.04	-0.26	0.97	-25.47	11.66	12.11
-0.05	-0.29	1	-23.77	12.24	12.41
-0.08	-0.31	1	-18.63	14.64	14.72
-0.12	-0.32	0.98	-12	15.1	19.94
-0.15	-0.3	0.93	-7.28	12.4	24.98
-0.09	-0.31	0.91	-2.99	8.75	27.48
-0.03	-0.3	0.93	-0.63	6.15	25.04
0.02	-0.3	0.92	1.44	9.68	20.53
0	-0.29	0.9	2.52	13.45	15.57
-0.03	-0.29	0.86	3.04	17.79	12.31
-0.09	-0.26	0.85	0.99	18.02	10.72
-0.09	-0.24	0.81	0.81	21.3	12.18
-0.08	-0.24	0.85	1.25	16.76	15.77
-0.05	-0.25	0.9	4.05	13.56	16.2
-0.01	-0.25	0.94	7.31	10.87	13.47
0	-0.25	0.95	7.48	7.33	10.05
0	-0.26	0.96	8.32	4.85	5.73
-0.04	-0.26	0.94	9.83	6.89	3.54
-0.08	-0.22	0.9	10.29	10.14	4.66
-0.09	-0.21	0.9	9.37	8.99	7.56
-0.08	-0.2	0.9	7.13	3.44	8.89
-0.05	-0.22	0.9	11.47	1.62	9.65
-0.05	-0.23	0.9	10.02	-4.43	10
-0.04	-0.22	0.97	6.93	-7.27	11.15
-0.04	-0.28	0.95	20.81	-20.93	8.81
-0.04	-0.26	0.91	26.92	-28.47	5.69
-0.03	-0.21	0.89	26.87	-24.26	5.16
-0.03	-0.19	0.88	24.69	-18.37	7.08
0.01	-0.18	0.9	19.66	-12.63	7.77
0.01	-0.21	0.94	17.8	-10.08	8.02
-0.01	-0.21	0.92	19.77	-12.15	7.95
-0.03	-0.21	0.91	26.32	-13.08	7.91
-0.04	-0.21	0.88	27.31	-10.85	9.71
-0.04	-0.19	0.86	23.68	-8.78	11.11
-0.02	-0.18	0.86	19.31	-9.56	10.55
0	-0.18	0.88	15.73	-11.15	8.95
0.02	-0.18	0.87	13.76	-10.99	7.36
0.02	-0.16	0.88	11.97	-9.85	5.25
0.03	-0.18	0.88	11.21	-6.99	3.19
0.02	-0.18	0.89	11.01	-7.22	2.27
0.01	-0.18	0.89	12.66	-4.5	2.18
-0.01	-0.18	0.9	15.42	-5.4	2.26
-0.04	-0.18	0.89	18.56	-9.19	3.59
-0.03	-0.17	0.89	20.63	-10.41	4.56
-0.01	-0.15	0.9	18.2	-9.22	5.34
0.02	-0.16	0.92	15.69	-5.3	5.5
0.03	-0.16	0.93	13.39	-2.79	5.15
0.02	-0.15	0.91	8.43	0.73	5.76
0	-0.15	0.89	3.45	2.56	7.15
0	-0.15	0.88	0.66	4.43	8.17
