acce_x	 acce_y	 acce_z	gyro_x	gyro_y	gyro_z
-0.02	-0.22	0.91	-6.26	-0.21	0.67
-0.01	-0.22	0.89	-6.81	-0.67	0.78
-0.01	-0.22	0.9	-6.23	-1.51	0.7
-0.01	-0.22	0.89	-6.12	0.56	0.72
-0.02	-0.22	0.9	-5.11	0.87	0.99
-0.02	-0.22	0.9	-5.42	1.08	1.04
-0.02	-0.22	0.9	-5.44	-0.27	1.95
-0.01	-0.22	0.9	-5.05	-0.95	2.55
-0.01	-0.22	0.89	-5.27	-0.26	2.49
0	-0.21	0.9	-5.73	0.43	2.31
0	-0.21	0.89	-6.17	0.2	2.21
0	-0.22	0.89	-5.82	0.21	2.31
0.01	-0.22	0.89	-4.95	0.29	1.82
0	-0.23	0.89	-3.59	0.58	1.21
0.02	-0.23	0.89	-2.32	0.79	0.81
0.03	-0.24	0.88	-0.09	1.37	-0.11
0	-0.26	0.87	5.11	-4.52	-2.4
0.03	-0.26	0.89	-0.31	-6.82	-1.08
0.19	-0.28	0.83	-2.9	-5.4	-5.94
0.4	-0.25	0.84	-10.99	-25.1	-17.34
0.8	-0.27	0.92	-14.41	-37.51	-44.09
1.13	-0.29	0.97	-10.67	-35.51	-77.15
1.44	-0.34	0.92	-1.66	-1.36	-128.98
1.68	-0.46	0.84	16.29	53.24	-197.6
1.58	-0.56	0.81	27.21	104.38	-261.77
1.53	-0.65	0.73	24.87	136.98	-312.09
1.38	-0.78	0.68	7.16	149.79	-347.01
1.41	-0.81	0.62	-22.69	153.01	-365.51
1.46	-0.82	0.63	-54.06	150.14	-371.79
2.02	-1.04	0.32	-82.84	274.29	-419.36
1.12	-0.83	0.65	-76.38	139.39	-397.92
1.09	-0.99	0.65	-69.04	182.82	-402.27
0.73	-1.27	0.68	-44.98	240.31	-417.21
0.51	-1.22	0.69	-38.78	244.49	-417.48
0.29	-1.24	0.71	-30.11	232.14	-413.01
0.05	-1.33	0.65	-14.72	212.27	-399.69
-0.08	-1.37	0.57	-4.34	206.15	-389.88
-0.17	-1.3	0.54	-0.29	187.21	-372
-0.28	-1.28	0.54	-6.24	163.71	-368.55
-0.27	-1.23	0.61	-3.97	130.46	-347.02
-0.4	-1.33	0.78	4.56	93.22	-320.09
-0.22	-1.36	0.87	19.88	116.64	-299.16
-0.28	-1.31	0.84	55.66	126.78	-288.08
-0.31	-1.21	0.73	84.55	122.06	-277.62
-0.3	-1.1	0.62	100.93	125.04	-272.37
-0.26	-1	0.53	104.78	120.95	-272.84
-0.25	-0.97	0.56	104.89	105.8	-272.6
-0.31	-0.98	0.55	105.3	98.49	-276.11
-0.31	-0.96	0.51	103.74	88.26	-275.47
-0.28	-1	0.58	111.91	94.32	-280.09
-0.31	-0.98	0.65	121.16	92.7	-278.14
-0.36	-0.87	0.75	115.76	84.95	-267.31
-0.34	-0.89	0.8	115.27	85.97	-259.83
-0.31	-0.94	0.81	117.05	100.73	-259.91
-0.4	-0.91	0.75	123.98	103.68	-255.92
-0.54	-0.9	0.6	123.56	83.48	-245.69
-0.66	-0.82	0.51	115.1	59.94	-229.42
-0.71	-0.7	0.56	101.69	27.85	-203.15
-0.62	-0.68	0.65	88.06	16.96	-188.6
-0.56	-0.62	0.78	83.24	18.49	-176.56
-0.48	-0.6	0.88	90.2	34.02	-170.73
-0.42	-0.6	1	102.47	41.66	-159.11
-0.41	-0.63	1.07	120.26	30.78	-149.68
-0.43	-0.62	0.92	124.43	8.67	-140.95
-0.5	-0.55	0.73	108.98	-20.09	-134.21
-0.44	-0.44	0.65	87.5	-34.06	-122.67
-0.36	-0.36	0.7	72.84	-45.71	-113.94
-0.29	-0.35	0.8	65.11	-38.14	-114.93
-0.29	-0.33	0.86	65.54	-33.31	-114.15
-0.24	-0.38	0.88	66.61	-2.47	-118.58
-0.27	-0.38	0.85	68.23	-4.47	-120.72
-0.31	-0.34	0.8	63.48	-9.42	-119.15
-0.33	-0.29	0.73	53.69	-14.85	-111.79
-0.33	-0.21	0.66	34.89	-16.35	-101.97
-0.24	-0.2	0.67	17.69	-19.76	-96.27
-0.13	-0.23	0.75	11.1	-20.46	-97.73
-0.12	-0.24	0.78	10.14	-16.23	-101.88
-0.18	-0.24	0.77	11.8	-8	-103.57
-0.25	-0.22	0.78	12.35	-1.08	-99.28
-0.31	-0.19	0.78	6.64	0.41	-91.54
-0.37	-0.15	0.84	1.19	-4.46	-79.54
-0.34	-0.16	0.85	-5.71	-14.23	-67.92
-0.31	-0.18	0.88	-13.1	-22.43	-57.47
-0.25	-0.17	0.91	-13.31	-27.24	-49.44
-0.21	-0.16	0.94	-12.78	-32.63	-43.33
-0.19	-0.17	0.93	-12.89	-36.66	-40.4
-0.23	-0.18	0.9	-15.92	-37.33	-37.24
-0.31	-0.21	0.87	-20.99	-38	-34.99
-0.31	-0.15	0.79	-33.39	-31.82	-22.38
-0.26	-0.1	0.8	-45.21	-24.73	-9.05
-0.23	-0.11	0.86	-55.33	-28.21	-6.99
-0.15	-0.12	0.89	-60.11	-29.45	-0.21
-0.02	-0.08	0.86	-66.55	-36.56	5.36
-0.03	-0.16	0.84	-71.71	-34.61	1.66
0.01	-0.21	0.84	-72.81	-22.96	-0.17
-0.04	-0.22	0.82	-74.09	-8.84	-4.73
-0.1	-0.19	0.8	-74.56	0.46	-3.37
-0.16	-0.14	0.83	-93.05	6.95	1.94
-0.18	-0.11	0.9	-108.56	-6.34	11.47
-0.15	-0.18	0.88	-118.69	-28.21	16.75
-0.07	-0.26	0.91	-87.8	-40.46	14.2
-0.02	-0.26	0.86	-56.35	-35.44	11.98
-0.01	-0.21	0.87	-48.38	-12.99	13.13
-0.05	-0.24	0.87	-53.3	-4.35	15.13
-0.08	-0.25	0.9	-67.59	-4.05	16.67
-0.06	-0.32	0.89	-64.96	-5.8	13.79
-0.07	-0.3	0.9	-50.02	-8.95	12.41
-0.06	-0.28	0.9	-33.56	-2.92	10.69
